lead_id,customer_id,campaign_id,lead_date,lead_source,landing_page,discount_offered_pct,lead_score,observed_region,converted_30d,conversion_date,acquisition_cost_usd,discount_pct,age,gender,income_band,loyalty_tier,avg_pages_viewed,avg_time_on_site,total_add_to_cart,total_checkout_started,total_sessions,total_revenue,preferred_device,predicted_prob,priority_tier
L500022,C100756,MKT2020,2025-06-09,CRM,/bundle-offer,10,40.0,South West,True,2025-07-04,7.04,10.0,45.0,male,Middle,silver,5.363636363636363,240.83333333333337,6.0,1.0,12.0,0.0,mobile,0.74,High
L500023,C102233,MKT2035,2025-12-09,Google,/new-arrivals,5,33.0,South South,False,,18,5.0,22.0,female,Lower-Middle,bronze,4.0,209.5,2.0,2.0,10.0,216.67,tablet,0.3466666666666667,Medium
L500024,C100577,MKT2008,2025-03-29,Meta,/landing-a,0,41.0,North West,False,,19,0.0,28.0,male,Low,silver,7.272727272727272,227.27272727272728,6.0,3.0,11.0,0.0,desktop,0.02666666666666667,Low
L500025,C101282,MKT2015,2025-05-27,Google,/landing-a,0,25.0,South West,False,,18,0.0,34.0,female,Low,bronze,6.2,173.6,2.0,2.0,5.0,53.0,mobile,0.16,Low
L500026,C100893,MKT2018,2025-07-07,Meta,/landing-b,5,27.0,North Cntrl,True,2025-07-24,18.14,5.0,42.0,male,Middle,bronze,4.909090909090909,203.1818181818182,4.0,3.0,11.0,0.0,mobile,0.6466666666666666,Medium
L500027,C100408,MKT2003,2025-02-08,CRM,/bundle-offer,5,29.0,North Central,False,,8,5.0,27.0,male,Upper-Middle,silver,4.444444444444445,189.33333333333337,2.0,2.0,9.0,162.01,mobile,0.37333333333333335,Medium
L500028,C100646,MKT2024,2025-08-23,Creator,/quiz,5,26.0,South South,True,2025-08-25,$16.13,5.0,18.0,male,Middle,platinum,5.75,260.5,3.0,1.0,8.0,192.01,mobile,0.78,High
L500029,C101116,MKT2016,2025-06-13,CRM,/quiz,15,52.0,South West,True,2025/07/10,USD 5.08,15.0,31.0,male,Upper-Middle,gold,4.5,243.5,0.0,0.0,4.0,82.62,mobile,0.76,High
L500030,C101505,MKT2025,2025-08-22,Meta,/promo-summer,0,35.0,South West,False,,25.28,0.0,18.0,male,Lower-Middle,bronze,5.5,143.25,2.0,1.0,4.0,0.0,mobile,0.07333333333333333,Low
L500031,C100475,MKT2008,2025-04-04,Meta,/bundle-offer,10,23.0,South West,True,2025-05-03,15.12,10.0,29.0,male,Lower-Middle,bronze,5.111111111111111,202.44444444444449,1.0,1.0,9.0,0.0,mobile,0.7066666666666667,High
L500032,C101775,MKT2030,2025-01-24,creator ,/bundle-offer,10,33.0,North Central,False,,8.87,10.0,37.0,male,Lower-Middle,bronze,4.555555555555555,244.22222222222223,2.0,1.0,9.0,0.0,mobile,0.3,Low
L500033,C101710,MKT2028,2025-09-22,Google,/quiz,10,58.0,North Central,False,,14.45,10.0,39.0,male,Upper-Middle,silver,6.5,242.83333333333337,3.0,2.0,6.0,0.0,mobile,0.17333333333333334,Low
L500034,C102007,MKT2028,2025-10-21,Google,/bundle-offer,20,52.0,South West,True,2025-11-01,19.74,20.0,18.0,non-binary,Upper-Middle,gold,5.5,226.6,2.0,0.0,10.0,207.01,mobile,0.44,Medium
L500035,C101345,MKT2010,2025-04-19,Google,/landing-a,10,49.0,South West,False,,17.15,10.0,29.0,male,Upper-Middle,bronze,6.222222222222222,147.55555555555554,4.0,2.0,9.0,0.0,mobile,0.14,Low
L500036,C102373,MKT2031,2025-10-18,Meta,/promo-summer,10,26.0,North Central,False,,13,10.0,34.0,female,Low,silver,5.363636363636363,206.1818181818182,4.0,3.0,11.0,20.13,mobile,0.13333333333333333,Low
L500037,C100273,MKT2027,2025-05-16,Google,/new-arrivals,5,62.0,South South,False,,17.87,5.0,31.0,female,Middle,silver,6.571428571428571,299.57142857142856,1.0,1.0,7.0,94.77,desktop,0.22,Low
L500038,C101561,MKT2017,2025-06-19,Meta,/new-arrivals,5,33.0,North West,False,,$16.02,5.0,18.0,female,Middle,silver,5.6,242.3,5.0,2.0,10.0,0.0,mobile,0.14,Low
L500039,C101123,MKT2007,22/03/2025,Creator,/quiz,10,19.0,North Central,False,,17.11,10.0,49.0,female,Low,bronze,4.333333333333333,238.33333333333337,4.0,3.0,9.0,187.68,mobile,0.17333333333333334,Low
L500040,C101142,MKT2018,2025-08-21,Meta,/quiz,10,26.0,South South,True,2025-09-19,12.15,10.0,46.0,female,Upper-Middle,silver,5.25,258.25,2.0,2.0,8.0,0.0,tablet,0.7733333333333333,High
L500041,C101185,MKT2011,2025-05-03,CRM,/new-arrivals,20,26.0,North West,False,,5.34,20.0,33.0,male,Low,gold,5.2,249.6,2.0,1.0,5.0,32.32,mobile,0.04,Low
L500042,C101399,MKT2022,"Aug 08, 2025",CRM,/quiz,10,45.0,South West,False,,4.8,10.0,49.0,female,Middle,bronze,5.0,280.7142857142857,3.0,2.0,7.0,0.0,mobile,0.12423004934490386,Low
L500043,C101890,MKT2028,2025-10-10,Google,/quiz,10,23.0,North West,False,,$20.21,10.0,24.0,female,Middle,silver,4.636363636363637,197.63636363636363,1.0,0.0,11.0,166.57,mobile,0.05333333333333334,Low
L500044,C102181,MKT2021,2025-12-09,Partner,/quiz,10,35.0,North West,False,,6.58,10.0,45.0,male,Middle,silver,6.0,143.0,0.0,0.0,2.0,41.01,tablet,0.08,Low
L500045,C101558,MKT2003,2025-02-15,CRM,/landing-a,0,76.0,South West,True,03-11-2025,$13.93,0.0,38.0,male,Upper-Middle,platinum,4.9,1002.9,2.0,0.0,10.0,94.46,desktop,0.9266666666666666,High
L500046,C101507,MKT2004,2025-09-02,Partner,/promo-summer,15,20.0,South South,False,,4.84,15.0,40.0,female,Low,silver,5.384615384615385,236.84615384615384,2.0,1.0,13.0,46.18,mobile,0.06,Low
L500047,C100841,MKT2020,2025-04-27,CRM,/landing-a,10,55.0,South West,False,,$8.30,10.0,31.0,non-binary,Lower-Middle,silver,5.0,151.2,3.0,2.0,5.0,0.0,mobile,0.23333333333333334,Low
L500048,C101631,MKT2008,2025-04-07,Meta,/landing-a,5,54.0,South West,False,,15.38,5.0,38.0,female,Upper-Middle,silver,5.8,240.8,2.0,0.0,5.0,45.39,mobile,0.43333333333333335,Medium
L500049,C100456,MKT2005,2025-02-28,Meta,/quiz,20,19.0,South South,True,2025-03-24,9.24,20.0,21.0,female,Lower-Middle,bronze,5.375,154.75,2.0,1.0,8.0,0.0,mobile,0.6933333333333334,High
L500050,C100117,MKT2014,2025-10-12,Google,/promo-summer,0,58.0,North Central,False,,$17.54,0.0,37.0,male,Middle,gold,4.0,271.0,1.0,1.0,3.0,64.75999999999999,mobile,0.58,Medium
L500051,C101552,MKT2026,2025-08-30,Google,/new-arrivals,10,24.0,South East,False,,21.91,10.0,31.0,male,Middle,silver,5.4,183.1,4.0,2.0,10.0,0.0,desktop,0.44,Medium
L500052,C100525,,2025-10-16,Meta,/new-arrivals,10,40.0,south west,True,2025-11-12,10.89,10.0,57.0,male,Lower-Middle,silver,5.555555555555555,210.66666666666663,2.0,0.0,9.0,73.5,mobile,0.7866666666666666,High
L500053,C100731,MKT2026,2025-09-08,Google,/quiz,10,34.0,South South,False,,$20.75,10.0,26.0,female,Low,bronze,6.333333333333333,205.83333333333337,1.0,0.0,6.0,0.0,mobile,0.10666666666666667,Low
L500054,C100956,MKT2033,2025-10-31,Programmatic,/landing-b,20,50.0,South West,True,2025-11-06,9.67,20.0,43.0,non-binary,Middle,silver,5.7,257.09090909090907,4.0,2.0,11.0,55.98,mobile,0.44666666666666666,Medium
L500055,C101490,MKT2030,2025-01-31,Programmatic,/new-arrivals,10,44.0,North Central,False,,USD 4.86,10.0,27.0,female,Upper-Middle,gold,5.666666666666667,323.0,1.0,0.0,3.0,98.13,desktop,0.6066666666666667,Medium
L500056,C102399,MKT2005,03-07-2025,Meta,/landing-b,15,37.0,South West,True,2025-03-20,15.65,15.0,36.0,female,Lower-Middle,silver,5.4,252.8,5.0,3.0,10.0,62.91,mobile,0.8866666666666667,High
L500057,C102354,MKT2017,2025-06-14,Meta,/new-arrivals,10,16.0,South East,False,,$16.42,10.0,22.0,male,Middle,silver,5.0,83.66666666666667,2.0,2.0,3.0,45.13,mobile,0.09333333333333334,Low
L500058,C101291,MKT2016,"Jun 17, 2025",CRM,/bundle-offer,0,47.0,South South,False,,2.88,0.0,43.0,female,Low,silver,4.75,224.91666666666663,3.0,1.0,12.0,115.34,mobile,0.36666666666666664,Medium
L500059,C101100,MKT2002,2025-02-12,Google,/landing-a,0,41.0,South South,False,,20.17,0.0,26.0,female,High,silver,5.4,245.6,1.0,0.0,5.0,0.0,mobile,0.15333333333333332,Low
L500060,C102188,MKT2028,2025-09-18,Google,/bundle-offer,10,58.0,South South,True,"Oct 04, 2025",12.72,10.0,35.0,female,High,gold,5.222222222222222,259.77777777777777,5.0,2.0,9.0,37.1,mobile,0.76,High
L500061,,MKT2019,2025-07-10,Meta,/bundle-offer,0,15.0,South South,True,2025-07-22,11.47,0.0,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,,Unknown,0.7733333333333333,High
L500062,C100533,MKT2025,2025-09-02,Meta,/bundle-offer,15,37.0,South West,False,,16.13,15.0,39.0,non-binary,Lower-Middle,bronze,6.181818181818182,171.0,5.0,2.0,11.0,0.0,desktop,0.23333333333333334,Low
L500063,C101758,MKT2018,"Aug 25, 2025",Meta,/landing-a,10,16.0,North Central,False,,15.3,10.0,36.0,male,Middle,bronze,5.545454545454546,259.54545454545456,5.0,5.0,11.0,0.0,mobile,0.19333333333333333,Low
L500064,C101899,MKT2001,2025-02-08,Google,/new-arrivals,15,40.0,South West,False,,24.25,15.0,39.0,female,Lower-Middle,bronze,4.444444444444445,255.22222222222223,3.0,2.0,9.0,235.22,mobile,0.17333333333333334,Low
L500065,C101909,MKT2027,2025-04-18,Google,/quiz,0,51.0,South West,True,2025-05-13,16.75,0.0,27.0,female,Lower-Middle,platinum,6.636363636363637,177.36363636363637,4.0,0.0,11.0,228.69,mobile,0.7533333333333333,High
L500066,C101922,MKT2031,"Nov 06, 2025",Meta,/landing-a,20,42.0,South West,True,14/11/2025,11.89,20.0,0.0,female,Middle,bronze,6.714285714285714,292.57142857142856,2.0,0.0,7.0,0.0,mobile,0.32,Low
L500067,C102273,MKT2005,27/02/2025,Meta,/promo-summer,0,34.0,South South,False,,$8.36,0.0,31.0,female,Middle,silver,7.0,184.83333333333337,4.0,1.0,6.0,74.17,desktop,0.08666666666666667,Low
L500068,C102219,MKT2001,2025-01-16,Google,/landing-a,0,25.0,South West,False,,15.29,0.0,32.0,male,Low,gold,5.714285714285714,232.28571428571428,4.0,1.0,7.0,250.52,mobile,0.2866666666666667,Low
L500069,C101813,MKT2004,2025-09-03,Partner,/landing-b,10,17.0,South South,False,,15.18,10.0,51.0,non-binary,Low,bronze,5.833333333333333,190.66666666666663,2.0,1.0,6.0,17.67,mobile,0.1,Low
L500070,C101493,MKT2002,2025-02-22,Google,/landing-a,15,52.0,South South,True,02-26-2025,11.15,15.0,39.0,male,Upper-Middle,silver,4.909090909090909,232.8181818181818,3.0,1.0,11.0,186.92,mobile,0.46,Medium
L500071,C100206,MKT2030,2025-01-31,Programmatic,/quiz,0,32.0,North West,False,,12.48,0.0,28.0,female,High,bronze,5.714285714285714,168.28571428571428,2.0,1.0,7.0,127.38,mobile,0.05333333333333334,Low
L500072,C101446,MKT2026,2025-08-29,Google,/bundle-offer,15,19.0,North West,False,,17.56,15.0,43.0,male,Middle,silver,5.4,224.6,3.0,1.0,5.0,128.07999999999998,mobile,0.05333333333333334,Low
L500073,C100974,MKT2014,"Oct 22, 2025",Google,/quiz,0,16.0,North Central,False,,USD 15.57,0.0,42.0,female,Low,bronze,6.166666666666667,195.83333333333337,4.0,1.0,6.0,80.89,mobile,0.16666666666666666,Low
L500074,C101254,MKT2025,2025-09-22,Meta,/bundle-offer,20,33.0,South South,False,,11.6,20.0,23.0,female,Upper-Middle,bronze,6.444444444444445,238.66666666666663,4.0,3.0,9.0,29.83,desktop,0.15333333333333332,Low
L500075,C101756,MKT2007,2025-03-16,Creator,/quiz,0,51.0,South West,False,,24.47,0.0,40.0,male,Low,platinum,5.125,299.125,6.0,6.0,8.0,150.29000000000002,mobile,0.13333333333333333,Low
L500076,C102124,MKT2016,2025-06-06,CRM,/landing-b,0,60.0,North Central,True,2025-06-12,10.09,0.0,23.0,female,High,gold,5.285714285714286,130.85714285714286,1.0,1.0,7.0,48.12,mobile,0.8266666666666667,High
L500077,C100167,MKT2008,2025-04-23,crm,/quiz,10,11.0,South East,False,,11.69,10.0,32.0,male,Middle,bronze,6.0,366.0,2.0,1.0,3.0,94.89,mobile,0.12,Low
L500078,C100559,MKT2023,2025-08-27,CRM,/promo-summer,0,64.0,South West,True,2025/08/28,3.01,0.0,31.0,female,Upper-Middle,gold,5.571428571428571,215.8571428571429,4.0,2.0,7.0,62.32,tablet,0.5266666666666666,Medium
L500079,C102005,MKT2026,2025-09-06,Google,/landing-b,10,50.0,South South,False,,17.46,10.0,32.0,female,Lower-Middle,platinum,7.333333333333333,57.0,2.0,2.0,3.0,12.55,mobile,0.1,Low
L500080,C100639,MKT2004,2025-09-02,Partner,/promo-summer,0,34.0,South West,False,,17.56,0.0,41.0,female,Lower-Middle,silver,4.875,202.25,3.0,0.0,8.0,15.31,mobile,0.12666666666666668,Low
L500081,C101406,MKT2011,2025-04-15,CRM,/landing-a,20,0.0,South West,False,,3.08,20.0,35.0,male,Upper-Middle,bronze,5.833333333333333,216.83333333333337,3.0,0.0,6.0,0.0,tablet,0.05333333333333334,Low
L500082,C100465,MKT2012,2025-05-23,Partner,/new-arrivals,0,66.0,South West,False,,$15.08,0.0,37.0,female,High,silver,5.8,187.9,4.0,2.0,10.0,0.0,mobile,0.24,Low
L500083,C101563,MKT2024,2025-09-12,Creator,/promo-summer,15,44.0,South South,False,,23,15.0,35.0,male,Middle,bronze,4.642857142857143,229.5,3.0,1.0,14.0,218.3,mobile,0.14666666666666667,Low
L500084,C100976,MKT2030,2025-01-24,Programmatic,/landing-b,15,10.0,South West,False,,14,15.0,34.0,male,Lower-Middle,bronze,5.857142857142857,274.57142857142856,4.0,1.0,7.0,0.0,mobile,0.12,Low
L500085,C101663,MKT2008,2025-04-04,Meta,/promo-summer,20,34.0,South South,False,,20,20.0,42.0,female,Lower-Middle,bronze,4.625,252.625,3.0,2.0,16.0,30.69,mobile,0.21333333333333335,Low
L500086,C101927,MKT2000,2025-05-11,Meta,/landing-b,0,45.0,North Central,False,,17.83,0.0,34.0,female,Upper-Middle,gold,4.75,253.5,1.0,1.0,4.0,0.0,mobile,0.13333333333333333,Low
L500087,C101122,MKT2015,2025-05-25,Google,/new-arrivals,10,35.0,North West,True,2025-06-08,13.02,10.0,23.0,female,Lower-Middle,gold,4.777777777777778,249.66666666666663,3.0,2.0,9.0,0.0,mobile,0.7866666666666666,High
L500088,C100890,MKT2012,2025-04-28,Partner,/new-arrivals,0,14.0,South West,True,2025-05-28,14.02,0.0,29.0,female,Low,gold,4.75,194.0,4.0,3.0,8.0,123.2,mobile,0.6933333333333334,High
L500089,C100087,MKT2032,2025-10-22,Google,/promo-summer,10,5.0,North West,False,,15,10.0,28.0,female,Lower-Middle,bronze,4.75,274.25,2.0,0.0,4.0,73.92,mobile,0.32666666666666666,Low
L500090,C101075,MKT2028,2025-09-29,Google,/quiz,15,47.0,South South,False,,14.92,15.0,26.0,male,Lower-Middle,bronze,4.5,231.0,3.0,1.0,8.0,156.92,mobile,0.10666666666666667,Low
L500091,C102190,MKT2008,2025-04-13,Meta,/new-arrivals,0,9.0,South West,True,2025-05-12,10,0.0,25.0,female,Low,silver,4.9,306.6,4.0,4.0,10.0,73.34,mobile,0.8066666666666666,High
L500092,C102318,MKT2025,2025-08-25,Meta,/promo-summer,0,15.0,North West,False,,15,0.0,34.0,male,Lower-Middle,bronze,6.857142857142857,258.75,3.0,2.0,8.0,0.0,tablet,0.15333333333333332,Low
L500093,C100377,MKT2018,2025-08-11,Meta,/promo-summer,5,17.0,North Central,True,2025-09-07,14.31,5.0,25.0,male,Upper-Middle,silver,4.833333333333333,220.66666666666663,0.0,0.0,6.0,32.07,mobile,0.7,High
L500094,C101681,MKT2034,07/11/2025,Meta,/bundle-offer,20,48.0,South West,True,2025-11-29,14.76,20.0,29.0,male,Low,silver,6.0,244.0,0.0,0.0,4.0,208.32,mobile,0.8066666666666666,High
L500095,C100191,MKT2018,2025-08-25,Meta,/promo-summer,15,9.0,South South,False,,7.27,15.0,42.0,non-binary,Middle,bronze,5.333333333333333,173.66666666666666,4.0,2.0,6.0,130.37,desktop,0.12666666666666668,Low
L500096,C102123,MKT2017,2025-07-05,Meta,/bundle-offer,5,31.0,South West,False,,15.0,5.0,35.0,male,Middle,bronze,6.0,201.5,2.0,0.0,6.0,1389.1,mobile,0.16666666666666666,Low
L500097,C101633,MKT2015,2025-06-05,Google,/promo-summer,20,45.0,South East,False,,19.19,20.0,29.0,male,Low,gold,6.461538461538462,167.6153846153846,4.0,2.0,13.0,57.46,mobile,0.26666666666666666,Low
L500098,C102156,MKT2015,2025-05-23,Google,/landing-b,20,69.0,North Central,True,"May 30, 2025",20.48,20.0,38.0,non-binary,Upper-Middle,silver,4.857142857142857,161.28571428571428,1.0,0.0,7.0,77.3,mobile,0.6733333333333333,High
L500099,C100581,MKT2018,2025-08-04,Meta,/bundle-offer,0,22.0,North West,False,,$10.71,0.0,29.0,female,Middle,bronze,4.714285714285714,264.57142857142856,2.0,1.0,7.0,36.08,mobile,0.18666666666666668,Low
L500100,C101316,MKT2030,2025-01-19,Programmatic,/bundle-offer,15,44.0,South South,False,,13.03,15.0,30.0,male,Upper-Middle,bronze,4.4,252.0,1.0,0.0,6.0,76.36,tablet,0.13333333333333333,Low
L500101,C100125,MKT2015,2025-05-26,Google,/landing-a,15,28.0,South West,False,,18.5,15.0,39.0,male,Middle,bronze,5.8,177.2,1.0,0.0,5.0,38.97,mobile,0.1,Low
L500102,C102047,MKT2001,2025-01-18,Google,/quiz,0,33.0,North West,False,,$21.83,0.0,49.0,female,Upper-Middle,bronze,5.7,277.9,3.0,1.0,10.0,35.59,mobile,0.14666666666666667,Low
L500103,C101179,MKT2016,2025-06-01,CRM,/promo-summer,15,63.0,North Central,False,,4.51,15.0,18.0,female,Upper-Middle,gold,5.0,236.6,1.0,0.0,5.0,0.0,mobile,0.16,Low
L500104,C101725,MKT2035,2025-12-12,Google,/landing-b,5,33.0,South West,True,2025-12-24,17.94,5.0,30.0,female,Middle,silver,5.857142857142857,259.57142857142856,4.0,2.0,7.0,126.51,mobile,0.8266666666666667,High
L500105,C102194,MKT2008,2025-03-18,Meta,/bundle-offer,20,33.0,North Central,True,2025-03-21,$21.59,20.0,29.0,female,Upper-Middle,bronze,5.818181818181818,256.09090909090907,3.0,1.0,11.0,92.77,mobile,0.17333333333333334,Low
L500106,C101383,MKT2021,2025-12-20,Partner,/landing-a,15,37.0,south west,True,2026-01-05,$12.96,15.0,18.0,female,Upper-Middle,silver,5.375,212.625,3.0,2.0,8.0,147.85,mobile,0.7933333333333333,High
L500107,C100384,MKT2034,29/06/2025,Meta,/quiz,5,21.0,South South,False,,9.63,5.0,21.0,female,Upper-Middle,bronze,5.3,173.0,5.0,3.0,10.0,118.28,desktop,0.18,Low
L500108,C100342,MKT2017,"Jun 07, 2025",Meta,/quiz,-5,18.0,North West,False,,16.65,-5.0,48.0,female,Middle,bronze,5.875,225.75,2.0,1.0,8.0,0.0,mobile,0.06666666666666667,Low
L500109,C102354,MKT2012,17/06/2025,Partner,/promo-summer,0,60.0,South East,False,,13.2,0.0,22.0,male,Middle,silver,5.0,83.66666666666667,2.0,2.0,3.0,45.13,mobile,0.4066666666666667,Medium
L500110,C101924,MKT2025,2025-09-17,Meta,/bundle-offer,5,31.0,South South,True,2025-10-06,17.56,5.0,29.0,female,Lower-Middle,gold,5.5,180.8571428571429,2.0,0.0,8.0,0.0,mobile,0.74,High
L500111,C100409,MKT2001,2025-02-16,Google,/new-arrivals,20,24.0,South South,True,2025-02-22,12.6,20.0,46.0,male,Low,silver,3.75,246.5,1.0,0.0,4.0,152.85,tablet,0.8266666666666667,High
L500112,C101711,MKT2002,30/01/2025,Google,/bundle-offer,10,55.0,North Central,True,2025-02-23,18.92,10.0,24.0,female,Upper-Middle,platinum,5.6,215.2,2.0,2.0,5.0,70.43,mobile,0.84,High
L500113,C101788,MKT2020,2025/05/04,CRM,/bundle-offer,10,37.0,North West,False,,6,10.0,30.0,male,Middle,bronze,7.0,188.1428571428571,3.0,1.0,7.0,0.0,mobile,0.06666666666666667,Low
L500114,C101168,MKT2035,11-17-2025,Google,/landing-a,10,42.0,North West,False,,$24.29,10.0,43.0,male,Middle,bronze,4.8,213.0,2.0,2.0,5.0,64.23,mobile,0.12,Low
L500115,C100181,MKT2032,2025-10-25,Google,/bundle-offer,0,21.0,North Central,False,,15.28,0.0,28.0,male,Lower-Middle,silver,6.4,291.6,2.0,2.0,5.0,208.86,tablet,0.12666666666666668,Low
L500116,C101596,MKT2028,09-17-2025,Google,/bundle-offer,15,49.0,South South,False,,$28.13,15.0,33.0,female,Middle,bronze,5.166666666666667,211.5,3.0,1.0,6.0,130.7,desktop,0.4666666666666667,Medium
L500117,C100009,MKT2002,2025-01-25,Google,/bundle-offer,0,55.0,South West,False,,18.78,0.0,25.0,male,Lower-Middle,silver,6.571428571428571,254.28571428571428,3.0,3.0,7.0,172.32999999999998,mobile,0.08,Low
L500118,C100518,MKT2011,2025-04-24,CRM,/quiz,10,89.0,South South,False,,1.0,10.0,46.0,male,Upper-Middle,gold,4.8,192.8,3.0,1.0,15.0,137.98,mobile,0.24,Low
L500119,C100906,MKT2009,2025-04-05,Creator,/bundle-offer,15,6.0,South East,True,2025-04-10,$23.12,15.0,30.0,female,Lower-Middle,bronze,5.0,281.3333333333333,1.0,1.0,6.0,0.0,tablet,0.6466666666666666,Medium
L500120,C100089,MKT2005,02-21-2025,Meta,/bundle-offer,20,36.0,North West,False,,10.1,20.0,29.0,male,Lower-Middle,silver,5.571428571428571,200.8571428571429,2.0,0.0,7.0,0.0,mobile,0.42,Medium
L500121,C100323,MKT2014,10-09-2025,Google,/landing-a,15,17.0,North West,False,,24.25,15.0,31.0,female,Low,bronze,5.777777777777778,209.11111111111111,5.0,2.0,9.0,11.95,mobile,0.09333333333333334,Low
