customer_id,gender,age,city,region,signup_date,preferred_device,loyalty_tier,email_opt_in,income_band
C100058,Male,29,Ibadan,South West,2025-11-24,Mobile,Bronze,Yes,Middle
C100059,Female,36,Kano,North West,07-15-2025,Mobile,Gold,No,Lower-Middle
C100060,Male,28,Calabar,South South,2024-10-30,Desktop,Silver,Yes,Upper-Middle
C100061,Female,31,Kano,North West,2025-07-14,Desktop,Silver,No,Lower-Middle
C100062,Female,32,Lagos,South West,2024-01-14,Mobile,Bronze,Yes,Middle
C100063,Male,32,Abuja,North Central,2025-08-25,Desktop,Silver,No,Middle
C100064,Female,43,Benin City,South South,2024-10-29,Mobile,Silver,No,Lower-Middle
C100065,Male,26,Abuja,North Central,2025-11-17,Mobile,Bronze,No,High
C100066,Male,35,Calabar,South South,"May 05, 2025",Desktop,Bronze,No,Upper-Middle
C100067,Male,21,,South South,2024-04-12,Mobile,Silver,Yes,Lower-Middle
C100068,Male,43,Enugu,South East,2024-07-09,Desktop,Silver,Yes,Middle
C100069,Male,39,Ibadan,South West,2024-12-09,Mobile,Bronze,Yes,Middle
C100070,Female,42,Enugu,South East,2025-05-03,Mobile,Silver,Yes,Low
C100071,Female,34,,South West,2024-05-27,Mobile,Platinum,No,Middle
C100072,Male,32,Abuja,North Central,2025-02-19,Tablet,Gold,Yes,Upper-Middle
C100073,Male,22,Ibadan,South West,2025-07-02,Mobile,Gold,Yes,Low
C100074,Non-binary,36,Kaduna,North West,2025-08-26,Desktop,Bronze,Yes,Middle
C100075,Male,45,Ibadan,South West,2024-02-15,Mobile,Bronze,Yes,Middle
C100076,Female,18,Lagos,South West,"Jul 02, 2024",Mobile,Silver,Yes,Middle
C100077,Female,48,Port Harcourt,South South,2024-02-25,Mobile,Gold,Yes,Middle
C100078,Female,26,Abuja,North Central,2024-07-04,Mobile,Gold,Yes,Lower-Middle
C100079,Male,37,Abuja,North Central,2025-10-30,Mobile,Bronze,Yes,Middle
C100080,Male,26,Lagos,South West,2025-01-17,Mobile,Bronze,Yes,Middle
C100081,Male,32,Port Harcourt,South South,2024-07-29,Mobile,Bronze,Yes,Middle
C100082,Female,40,Ibadan,South West,2025-07-17,Mobile,Bronze,Yes,Low
C100083,Female,31,Kaduna,North West,2025-02-28,Mobile,Silver,Yes,Upper-Middle
C100084,Female,49,Kaduna,North West,2025-04-18,Mobile,Silver,Yes,Upper-Middle
C100085,Male,33,Ibadan,South West,2024-07-15,Mobile,Bronze,Yes,Middle
C100086,Male,39,Ibadan,South West,02/05/2024,Tablet,Bronze,Yes,Lower-Middle
C100087,Female,28,Kaduna,North West,28/02/2025,Mobile,Bronze,No,Lower-Middle
C100088,Male,29,Jos,North Central,2025/04/07,Mobile,Bronze,No,Low
C100089,Male,29,Kano,North West,2025-07-26,Mobile,Silver,Yes,Lower-Middle
C100090,Male,37,Enugu,South East,2024-08-10,Desktop,Silver,Yes,Lower-Middle
C100091,Male,48,Jos,North Central,2024/02/28,Desktop,Gold,No,Middle
C100092,Female,33,Lagos,South West,2024-05-01,Desktop,Silver,Yes,Upper-Middle
C100093,Female,22,Enugu,South East,2025-08-29,Mobile,Bronze,Yes,High
C100094,Female,28,Abuja,North Central,2024-11-28,Mobile,Platinum,Yes,Upper-Middle
C100095,Male,21,Ibadan,South West,2025-06-27,Mobile,Platinum,Yes,Middle
C100096,Female,37,Kaduna,North West,2025-03-13,Mobile,Gold,Yes,Upper-Middle
C100097,Male,33,Kano,North West,2025-08-25,Mobile,Bronze,No,Upper-Middle
C100098,Male,24,Lagos,South West,2024-12-21,Mobile,Bronze,Yes,Middle
C100099,Male,30,Kano,North West,2025/09/07,Mobile,Bronze,Yes,Low
C100100,Female,41,Lagos,North Cntrl,2024-06-22,Desktop,Bronze,Yes,Low
C100101,Male,37,Port Harcourt,South South,2024-06-23,Desktop,Gold,Yes,Low
C100102,Female,28,Enugu,South East,"May 31, 2024",Desktop,Silver,Yes,Lower-Middle
C100103,Female,40,Port Harcourt,South South,2024-06-09,Desktop,Bronze,No,Upper-Middle
C100104,Female,36,Benin City,South South,2024-11-13,Mobile,Gold,Yes,High
C100105,Female,28,Kaduna,North West,2025-06-18,Desktop,Bronze,Yes,High
C100106,Male,35,Enugu,South East,2025/07/27,Tablet,Bronze,Yes,Low
C100107,Male,49,Kaduna,North West,2025-08-15,Mobile,Bronze,No,Upper-Middle
C100108,Female,23,Lagos,South West,2025-10-30,Mobile,Bronze,Yes,Upper-Middle
C100109,Female,42,Port Harcourt,South South,2024-03-23,Tablet,Silver,No,Low
C100110,Male,32,Ibadan,South West,2025-05-17,Mobile,Bronze,Yes,Low
C100111,Female,39,Lagos,South West,2025-11-11,Mobile,Silver,Yes,Upper-Middle
C100112,Female,37,Benin City,South South,12/04/2024,Desktop,Gold,Yes,Low
C100113,Female,35,Benin City,South South,2024-01-18,Desktop,Gold,Yes,Low
C100114,Female,32,Enugu,South East,12-21-2024,Mobile,Silver,No,Lower-Middle
C100115,Female,33,Calabar,South South,2024-12-03,Mobile,Bronze,Yes,Lower-Middle
C100116,Male,39,Lagos,South West,2025-05-11,Mobile,Bronze,Yes,Low
C100117,male,37,Abuja,North Central,2024-10-22,Mobile,Gold,Yes,Middle
C100118,Female,20,Kano,North West,"Jul 18, 2025",Mobile,Bronze,Yes,Upper-Middle
C100119,Female,37,Lagos,South West,2025-09-04,Mobile,Silver,Yes,High
C100120,Male,44,Abuja,North Central,2025-06-02,Mobile,Gold,No,Lower-Middle
C100121,Male,41,Benin City,North Cntrl,2025-03-21,Mobile,Gold,Yes,Upper-Middle
C100122,Male,35,Lagos,South West,2024-08-16,Mobile,Silver,Yes,Upper-Middle
C100123,Male,18,Kaduna,North West,2025-05-26,Desktop,Bronze,No,Lower-Middle
C100124,Male,38,Enugu,South East,2024-10-29,Mobile,Silver,No,Lower-Middle
C100125,Male,39,Lagos,South West,2024-06-30,Mobile,Bronze,No,Middle
C100126,Female,46,Ibadan,South West,2025-10-25,Tablet,Gold,Yes,Upper-Middle
C100127,Male,25,Kaduna,North West,2024-02-21,Mobile,Silver,No,Lower-Middle
C100128,Female,31,Calabar,South South,2025-07-01,Mobile,Bronze,Yes,Upper-Middle
C100129,Male,28,Abuja,North Central,2025-08-05,Tablet,Bronze,Yes,High
C100130,Non-binary,31,Lagos,South West,2024-10-15,Tablet,Silver,Yes,Upper-Middle
C100131,Male,18,Enugu,South East,2025-07-26,Mobile,Silver,Yes,Lower-Middle
C100132,Female,29,Jos,North Central,2024-09-09,Mobile,Silver,No,Lower-Middle
C100133,Female,29,Lagos,South West,2024-09-12,Mobile,Silver,No,Lower-Middle
C100134,Female,?,Ibadan,South West,2024-09-24,Mobile,Gold,No,Upper-Middle
C100135,Male,47,Kano,North West,2025-05-18,Mobile,Silver,Yes,Middle
C100136,Male,27,Enugu,South East,11-04-2025,Mobile,Gold,Yes,Upper-Middle
C100137,Female,29,Lagos,South West,2024-02-03,Mobile,Silver,Yes,Lower-Middle
C100138,Male,43,Kano,North West,2025-10-16,Mobile,Gold,No,Lower-Middle
C100139,Male,28,Enugu,South East,2024-02-29,Mobile,Gold,Yes,Upper-Middle
C100140,Female,43,Benin City,South South,2025-10-16,Mobile,Bronze,No,Middle
C100141,Male,37,Lagos,South West,2024-10-04,Mobile,Platinum,Yes,Lower-Middle
C100142,Female,27,Lagos,North Cntrl,2024-09-29,Mobile,Gold,No,Middle
C100143,Male,27,Abuja,North Central,2024-09-30,Desktop,Gold,No,Lower-Middle
C100144,Female,34,Enugu,South East,2025-04-25,Mobile,Silver,Yes,Upper-Middle
C100145,Female,31,Lagos,South West,2025-01-30,Mobile,Bronze,Yes,Upper-Middle
C100146,Female,34,Lagos,South West,2025-11-09,Desktop,Platinum,Yes,Middle
C100147,Male,28, lagos ,South South,2024-03-01,Mobile,Bronze,Yes,Middle
C100148,Male,38,Lagos,South West,2024-08-04,Desktop,Bronze,No,Lower-Middle
C100149,Male,27,Lagos,South West,2025-09-26,Mobile,Bronze,No,Low
C100150,Non-binary,29,Lagos,South West,2024-03-27,Mobile,Silver,Yes,Lower-Middle
C100151,Male,31,Ibadan,South West,2024-11-20,Mobile,Silver,No,Low
C100152,Female,22,Kano,North West,2025-11-19,Mobile,Gold,Yes,Middle
C100153,Male,30,Port Harcourt,South South,2025-05-07,Tablet,Silver,Yes,Lower-Middle
C100154,Female,31,Lagos,South West,2025-06-01,Desktop,Platinum,Yes,Lower-Middle
C100155,Male,20,Abuja,North Central,2025-09-18,Mobile,Bronze,Yes,Upper-Middle
C100156,Female,18,Benin City,South South,2024-04-05,Mobile,Bronze,Yes,Middle
C100157,Male,44,Calabar,South South,2025-04-22,Mobile,Gold,Yes,Middle
C100158,Female,30,Calabar,South South,2024-05-06,Mobile,Silver,No,Middle
C100159,Male,32,Abuja,North Central,2024-02-21,Mobile,Bronze,Yes,High
C100160,Female,27,Lagos,South West,2024-05-07,Mobile,Gold,Yes,Lower-Middle
C100161,Female,47,Enugu,South East,2024-07-02,Mobile,Silver,,Lower-Middle
C100162,Male,31,,North Central,2024-07-16,Mobile,Bronze,Yes,High
C100163,Male,18,Ibadan,South West,2024-04-05,Desktop,Bronze,Yes,Middle
C100164,Male,37,Kaduna,North West,2024-02-25,Desktop,Gold,No,Low
C100165,Female,24,Enugu,South East,2024-06-08,Mobile,Bronze,Yes,Lower-Middle
C100166,Male,37,Benin City,South South,2025-10-10,Mobile,Silver,Yes,Lower-Middle
C100167,Male,32,Enugu,South East,2025-01-21,Mobile,Bronze,Yes,Middle
C100168,Male,44,Lagos,South West,2025-03-17,Desktop,Silver,No,Low
C100169,Male,37,Abuja,North Central,2025-01-15,Mobile,Gold,Yes,Middle
C100170,Male,30,Abuja,North Central,2024-04-17,Mobile,Bronze,No,Low
C100171,Male,45,Lagos,South West,2025-10-09,Mobile,Bronze,Yes,Lower-Middle
C100172,Female,57,Jos,North Central,2025-07-02,Mobile,Bronze,Yes,Lower-Middle
C100173,Female,28,Lagos,South West,2024-04-26,Desktop,Bronze,No,Upper-Middle
C100174,Non-binary,43,Kano,North West,2024-05-15,Desktop,Bronze,Yes,Low
C100175,Female,36,Lagos,South West,2025-07-16,Mobile,Bronze,Yes,Middle
C100176,Female,37,Port Harcourt,South South,2025-02-25,Mobile,Bronze,Yes,Lower-Middle
C100177,Male,?,Port Harcourt,South South,2024-11-10,Tablet,Bronze,Yes,Middle
C100178,Female,24,Lagos,South West,2024-09-28,Mobile,Bronze,Yes,High
C100179,Male,45,Ibadan,South West,10-26-2025,Mobile,Silver,Yes,Lower-Middle
C100180,Male,34,Ibadan,South West,"Apr 25, 2025",Mobile,Gold,Yes,Middle
C100181,Male,28,Abuja,North Central,2024-02-13,Tablet,Silver,Yes,Lower-Middle
C100182,Female,49,Kaduna,North West,2025-04-06,Mobile,Silver,Yes,Middle
C100183,Male,44,Lagos,South West,26/12/2024,Mobile,Gold,No,Lower-Middle
C100184,Male,39,Lagos,South West,05/08/2024,Mobile,Bronze,No,Lower-Middle
C100185,Male,24,Port Harcourt,South South,2024/03/17,Mobile,Gold,No,Lower-Middle
C100186,Non-binary,33,Port Harcourt,South South,2024-09-13,Mobile,Bronze,Yes,Middle
C100187,Male,46,Lagos,South West,2025-01-29,Desktop,Platinum,Yes,Low
C100188,Female,18,Jos,North Central,2025/10/05,Mobile,Gold,No,Upper-Middle
C100189,Non-binary,19,Enugu,South East,2025-04-23,Mobile,Bronze,Yes,Lower-Middle
C100190,Female,26,Lagos,South West,2024-05-07,Mobile,Silver,Yes,Middle
C100191,Non-binary,42,Port Harcourt,South South,2024-06-11,Desktop,Bronze,Yes,Middle
C100192,Non-binary,35,Abuja,North Central,2025-08-01,Desktop,Bronze,No,Upper-Middle
C100193,Female,37,Ibadan,South West,2024-03-03,Desktop,Bronze,FALSE,Low
C100194,Female,35,Abuja,North Central,2024-01-13,Mobile,Gold,No,Middle
C100195,Male,34,Ibadan,South West,2025-03-17,Mobile,Gold,No,Low
C100196,Male,44,Jos,North Central,14/11/2025,Mobile,Gold,Yes,Lower-Middle
C100197,Male,65,Port Harcourt,South South,2025-12-19,Mobile,Bronze,No,Lower-Middle
C100198,Male,37,Kano,North West,2025-04-04,Desktop,Gold,Yes,Upper-Middle
C100199,Female,45,Benin City,South South,2025-12-12,Tablet,Bronze,Yes,Upper-Middle
C100200,Male,29,Kaduna,North West,2024-12-04,Desktop ,Bronze,Yes,Lower-Middle
C100201,Female,47,Lagos,South West,2024-02-22,Mobile,Bronze,Yes,Lower-Middle
C100202,Male,34,Kaduna,North West,2025-02-21,Tablet,Bronze,Yes,Upper-Middle
C100203,Female,35,Calabar,South South,2025-06-26,Mobile,Gold,Yes,Middle
C100204,Male,29,Benin City,South South,2024-11-17,Mobile,Silver,No,Middle
C100205,Male,26,Abuja,North Central,2024-01-05,Mobile,Bronze,Yes,Low
C100206,Female,28,Kano,North West,2024-08-23,Mobile,Bronze,Yes,High
C100207,Male,24,Kano,North West,03-29-2024,Mobile,Silver,No,Low
C100208,Female,22,Kano,North West,2024-11-12,Mobile,Bronze,Yes,Low
C100209,Male,50,Lagos,South West,2024-09-11,Mobile,Bronze,No,Lower-Middle
C100210,Female,37,Calabar,South South,2025-08-23,Mobile,Silver,Yes,Low
C100211,Male,42,Calabar,South South,2024-08-15,Mobile,Bronze,Yes,Lower-Middle
C100212,Male,38,Port Harcourt,South South,2025-04-08,Mobile,Silver,Yes,Lower-Middle
C100213,Female,20,Benin City,South South,2024-02-22,Mobile,Silver,No,Lower-Middle
C100214,Female,33,Lagos,South West,24/05/2024,Mobile,Silver,Yes,High
C100215,Female,25,Calabar,South South,2025-01-17,Mobile,Silver,Yes,High
C100216,Male,26,Enugu,South East,"Jul 30, 2025",Desktop,Bronze,Yes,Low
C100217,Female,32,Kano,North West,2024-02-22,Mobile,Gold,Yes,Lower-Middle
C100218,Male,35,Kaduna,North West,2024-02-24,Desktop,Silver,Yes,Middle
C100219,Non-binary,34,Lagos,South West,2024-07-21,Mobile,Gold,Yes,Lower-Middle
C100220,Female,34,Abuja,North Central,16/06/2025,Mobile,Bronze,No,Lower-Middle
C100221,Female,31,Abuja,North Central,2024-08-21,Mobile,Silver,Yes,Low
C100222,Male,33,Benin City,South South,2024-09-12,Mobile,Silver,Yes,Middle
C100223,Female,44,Lagos,South West,2024-07-10,Mobile,Bronze,Yes,Middle
C100224,Non-binary,53,Jos,North Central,2024-10-24,Desktop,Silver,Yes,Low
C100225,Female,43,Ibadan,South West,2024-11-22,Mobile,Silver,Yes,Lower-Middle
C100226,Female,31,Ibadan,South West,2024-07-03,Mobile,Gold,Yes,Middle
C100227,Male,37,Lagos,South West,2025-03-08,Desktop,Bronze,No,Middle
C100228,Male,42,Kano,North West,2025/04/17,Mobile,Silver,No,Lower-Middle
C100229,Female,42,Enugu,South East,19/06/2024,Mobile,Gold,Yes,Middle
C100230,Female,44,Kano,North West,2024-03-14,Mobile,Gold,Yes,Low
C100231,Female,44,Abuja,south west,2025-12-03,Desktop,Gold,No,Middle
C100232,Male,37,Kaduna,North West,2024-05-30,Mobile,Bronze,No,Low
C100233,Male,31,Lagos,South West,2025-08-31,Tablet,Bronze,Yes,Lower-Middle
C100234,Female,19,Enugu,South East,2025-05-16,Mobile,Bronze,Yes,Middle
C100235,Male,43,Benin City,South South,2024-10-11,Desktop,Bronze,Yes,Low
C100236,Non-binary,39,,North Central,2025-02-07,Mobile,Bronze,Yes,Low
C100237,Male,25,Ibadan,South West,2025-02-02,Mobile,Silver,Yes,Upper-Middle
C100238,Female,33,Kano,North West,2024-07-16,Tablet,Silver,No,Lower-Middle
C100239,Female,30,Abuja,North Central,2025-12-02,Desktop,Bronze,No,Lower-Middle
C100240,Female,29,Enugu,South East,2025-08-30,Mobile,Silver,No,Lower-Middle
C100241,Female,49,Port Harcourt,South South,2025-05-06,Mobile,Silver,Yes,High
C100242,Female,30,Jos,North Central,2024-09-15,Mobile,Bronze,No,Middle
C100243,Female,55,Enugu,South East,2024-02-23,Desktop,Silver,No,Middle
C100244,Male,32,Lagos,South West,2024-12-19,Mobile,Bronze,No,Lower-Middle
C100245,Male,27,Kano,North West,2025-08-20,Desktop,Bronze,Yes,Middle
C100246,Male,34,Abuja,North Central,2024-11-22,Mobile,Silver,No,Low
C100247,Male,55,Kaduna,North West,2025-01-22,Mobile,Bronze,No,Middle
C100248,Female,32,Benin City,South South,2024-08-25,Mobile,Silver,Yes,High
C100249,F,38,Ibadan,South West,2025-06-02,Mobile,Gold,Yes,Low
C100250,Female,18,Jos,North Central,2025-09-29,Mobile,Silver,Yes,Upper-Middle
C100251,Female,38,Lagos,South West,2025-09-10,Mobile,Bronze,Yes,Low
C100252,Female,21,Benin City,South South,2024-07-03,Mobile,Bronze,No,High
C100253,Male,32,Abuja,North Central,2024-12-22,Mobile,Bronze,Yes,Lower-Middle
C100254,Female,45,Lagos,South West,2024-10-13,Tablet,Bronze,Yes,Upper-Middle
C100255,Female,31,Kaduna,North West,2025-05-21,Mobile,Bronze,Yes,Lower-Middle
C100256,Female,39,Benin City,South South,2024-03-09,Mobile,Bronze,Yes,High
C100257,Female,31,Jos,North Central,2024-12-17,Mobile,Bronze,No,Middle
C100258,Male,30,Benin City,South South,2025-06-14,Desktop,Bronze,Yes,High
C100259,Male,35,Abuja,North Central,29/12/2024,Tablet,Silver,Yes,Middle
C100260,Female,43,Calabar,South South,2024-05-25,Mobile,Bronze,Yes,Lower-Middle
C100261,Male,34,Lagos,South West,2025-04-09,Mobile,Gold,Yes,Low
C100262,Female,33,Lagos,North Cntrl,2024-01-16,Mobile,Gold,Yes,Low
C100263,Female,24,Kaduna,North West,2024-02-10,Mobile,Bronze,Yes,Middle
C100264,Female,18,Port Harcourt,South South,"Aug 15, 2024",Desktop,Silver,No,Lower-Middle
C100265,Male,34,Port Harcourt,South South,2025-07-19,Mobile,Gold,Yes,Low
C100266,Female,31,Enugu,South East,2025-11-29,Mobile,Silver,Yes,Middle
C100267,Male,35,Abuja,North Central,2024-04-14,Mobile,Platinum,No,Low
C100268,Male,42,Jos,North Central,2024-06-22,Desktop,Gold,Yes,Middle
C100269,Male,40,Kano,North West,2025-04-25,Mobile,Bronze,Yes,Low
C100270,Female,25,Abuja,North Central,2024-07-09,Mobile,Silver,No,High
C100271,Male,35,Lagos,South West,"Jan 17, 2024",phone,Silver,Yes,Low
C100272,Female,35,Abuja,North Central,2024-03-22,Mobile,Silver,No,Middle
C100273,Female,31,Calabar,South South,2024-07-04,Desktop,Silver,Yes,Middle
C100274,Female,18,Port Harcourt,South South,2024-09-08,Mobile,Gold,Yes,Upper-Middle
C100275,Male,26,Lagos,South West,2025-02-08,Mobile,Silver,Yes,Low
C100276,Non-binary,32,Abuja,North Central,04-25-2025,Mobile,Silver,No,Low
C100277,Female,40,Jos,North Central,2024/10/09,Mobile,Bronze,Yes,Lower-Middle
C100278,Male,30,Lagos,South West,2024-05-02,Mobile,Gold,No,Upper-Middle
C100279,Female,20,Kaduna,North West,2024-06-22,Tablet,Bronze,Yes,Middle
C100280,Female,45,Lagos,South West,2025-08-13,Mobile,Silver,No,Low
C100281,F,33,Calabar,South South,2025-10-16,Mobile,Bronze,Yes,Lower-Middle
C100282,Female,29,Ibadan,South West,2025-01-04,Mobile,Silver,Yes,High
C100283,Non-binary,38,Lagos,South West,2024-12-16,Mobile,Bronze,Yes,Lower-Middle
C100284,Female,39,Jos,North Central,04/08/2024,Desktop,Silver,No,Lower-Middle
C100285,Female,32,Port Harcourt,South South,2025-05-07,Tablet,Gold,Yes,Lower-Middle
C100286,Female,28,Kaduna,North West,10-28-2025,Mobile,Bronze,Yes,Upper-Middle
C100287,Male,28,Ibadan,South West,2024-12-07,Desktop,Bronze,No,Lower-Middle
C100288,Female,40,Lagos,South West,2025-10-20,Mobile,Bronze,Yes,Middle
C100289,Female,32,Lagos,South West,2024-09-21,Desktop,Bronze,Yes,Lower-Middle
C100290,Female,37,Lagos,South West,2024-07-05,Mobile,Bronze,Yes,Middle
C100291,Female,18,Lagos,South West,2025-01-16,Mobile,Bronze,No,Middle
C100292,Female,28,Lagos,South West,2025-05-24,Mobile,Gold,No,Low
C100293,Female,29,Lagos,South West,2025-09-20,Mobile,Bronze,Yes,Lower-Middle
C100294,Female,29,P/Harcourt,South South,2025-11-12,Mobile,Bronze,No,Middle
C100295,Female,18,Lagos,South West,2024-08-25,Desktop,Gold,Yes,Middle
C100296,Non-binary,29,Ibadan,South West,2025-05-12,Desktop,Bronze,No,Low
C100297,Female,47,Lagos,South West,2024-10-13,Desktop,Gold,Yes,High
C100298,Male,35,Lagos,South West,2024-07-18,Mobile,Bronze,Yes,High
C100299,Male,28,Kaduna,North West,2025-10-27,Mobile,Gold,Yes,Lower-Middle
C100300,Male,26,Jos,North Central,2024-11-30,Mobile,Bronze,Yes,Low
C100301,Male,21,Ibadan,South West,2025-10-02,Mobile,Bronze,Yes,Upper-Middle
C100302,Female,35,Lagos,South West,2025-08-22,Mobile,Silver,Yes,Low
C100303,Male,26, lagos ,South South,2025-06-15,Desktop,Bronze,No,Upper-Middle
C100304,Female,29,Lagos,South West,2024-06-02,Mobile,Gold,Yes,Upper-Middle
C100305,Non-binary,41,Port Harcourt,South South,2024-05-15,Mobile,Silver,Yes,Middle
C100306,Female,41,Ibadan,South West,2024-02-10,Desktop,Gold,Yes,Upper-Middle
C100307,Female,38,Jos,North Central,12/04/2024,Mobile,Bronze,Yes,Lower-Middle
C100308,Female,18,Enugu,South East,2025-01-20,Mobile,Silver,Yes,Upper-Middle
C100309,Female,28,Benin City,South South,2025-08-03,Mobile,Bronze,No,Middle
C100310,Male,43,Port Harcourt,South South,2025-01-16,Desktop,Bronze,Yes,Upper-Middle
C100311,Female,22,Enugu,South East,2025-04-07,Mobile,Bronze,No,Lower-Middle
C100312,Female,44,Enugu,South East,2024-10-09,Mobile,Silver,Yes,Low
C100313,Male,32,Enugu,South East,2025-09-17,Desktop,Gold,No,Middle
C100314,Female,41,Kano,North West,2025/04/20,Mobile,Silver,Yes,Middle
C100315,Male,29,Lagos,South West,2026-02-14,Mobile,Bronze,Yes,Upper-Middle
C100316,Male,22,Abuja,North Central,2024-12-26,Mobile,Silver,Yes,Middle
C100317,Male,24,Ibadan,South West,2025-01-31,Mobile,Gold,No,Upper-Middle
C100318,Male,46,Ibadan,South West,2025-08-12,Mobile,Bronze,No,Middle
C100319,Female,30,Enugu,North Cntrl,2025-02-24,Desktop,Bronze,Yes,Upper-Middle
C100320,Male,22,Abuja,North Central,2025-06-24,Mobile,Bronze,No,Upper-Middle
C100321,Female,40,Kano,N Central,2024-06-08,Desktop,Gold,Yes,Lower-Middle
