order_id,customer_id,order_date,product_category,units,revenue_usd,discount_pct,payment_type,returned_flag,marketing_channel_last_touch
O900146,C100124,2025-04-18,Home Care,-1,48.03,20,Wallet,False,Influencer
O900147,C100125,"Jul 05, 2024",Supplements ,1,12.55,0,Wallet,False,Influencer
O900148,C100125,2024/09/04,Snacks,2,26.42,0,Wallet,False,Influencer
O900149,C100126,"Dec 01, 2025",Supplements,,24.06,0,Card,False,Organic
O900150,C100127,2025-10-05,Snacks,1,10.52,0,Cash on Delivery,False,Paid Social
O900151,C100128,2025-08-06,Beverages,4,31.16,0,Transfer,False,Email
O900152,C100129,2025-10-07,Home Care,2,34.58,20,Cash on Delivery,False,Paid Search
O900153,C100129,23/11/2025,Personal Care,4,70.01,0,Cash on Delivery,False,Affiliate
O900154,C100130,2025-10-02,Home Care,4,80.08,5,Transfer,False,Organic
O900155,C100130,2025-12-26,Baby,1,22.31,20,Transfer,False,Paid Search
O900156,C100132,2025-07-19,Supplements,3,67.96,0,Transfer,True,Paid Social
O900157,C100133,2025-05-31,Home Care,2,46.83,0,Card,False,Paid Search
O900158,C100133,2025-03-26,Beverages,4,30.31,10,Card,False,Affiliate
O900159,C100135,"Oct 08, 2025",Beverages,2,15.82,0,Transfer,False,Paid Search
O900160,C100135,2025-07-28,Snacks,3,34.54,10,Cash on Delivery,False,Paid Social
O900161,C100135,2025-12-10,Home Care,2,38.61,15,Card,False,Direct
O900162,C100136,2025-08-10,Supplements,3,56.27,15,Cash on Delivery,False,Direct
O900163,C100138,2025-11-26,Baby,3,63.86,20,Wallet,False,Email
O900164,C100139,19/11/2024,Home Care,5,85.02,20,Wallet,False,Paid Social
O900165,C100139,2025/08/24,Baby,4,107.01,5,Card,False,Organic
O900166,C100139,2024-07-06,Supplements ,5,43.61,5,Transfer,False,Organic
O900167,C100139,2025-08-12,Personal Care,2,22.56,20,Transfer,False,Influencer
O900168,C100139,2024-10-18,Snacks,3,29.28,10,Transfer,False,Paid Social
O900169,C100141,"Dec 28, 2024",Snacks,7,70.29,20,Cash on Delivery,False,Affiliate
O900170,C100142,2025-07-22,Snacks,5,57.26,5,Transfer,False,Organic
O900171,C100143,2024-11-21,Supplements,4,,10,Wallet,False,Paid Search
O900172,C100144,2025-07-12,Home Care,6,123.23,10,Wallet,False,Paid Social
O900173,C100145,2025-03-17,Personal Care,3,46.0,20,Transfer,False,Affiliate
O900174,C100146,"Nov 30, 2025",Beverages,2,15.37,15,Cash on Delivery,False,Influencer
O900175,C100147,2024-04-13,Snacks,3,33.99,5,Cash on Delivery,False,Affiliate
O900176,C100147,2025-05-24,Snacks,4,37.02,10,Cash on Delivery,False,Paid Search
O900177,C100147,2024-05-31,Home Care,3,64.5,5,Card,True,Affiliate
O900178,C100147,2024/01/27,Snacks,8,96.25,0,Card,False,Influencer
O900179,C100148,"Jan 26, 2025",Personal Care,2,37.9,0,Cash on Delivery,False,Affiliate
O900180,C100148,2024-08-31,Personal Care,3,41.81,20,Transfer,False,Affiliate
O900181,C100149,2025-12-16,Home Care,4,83.26,10,Wallet,False,Direct
O900182,C100149,2025-12-13,Supplements,1,18.89,20,COD,False,Email
O900183,C100150,2024-11-08,Supplements,2,38.03,20,Transfer,False,Email
O900184,C100151,"Dec 15, 2024",Beverages,4,40.3,5,Card,N,Email
O900185,C100152,2025-12-08,Personal Care,2,40.24,0,Card,0,Paid Social
O900186,C100154,05/02/2025,Supplements,2,46.45,0,Wallet,False,Paid Search
O900187,C100156,2025-09-15,Baby,3,79.06,10,Card,False,Email
O900188,C100156,2025-11-08,Personal Care,3,58.96,0,Wallet,False,Organic
O900189,C100156,2024-06-14,Home Care,2,42.08,5,Wallet,False,Affiliate
O900190,C100157,2025-11-13,Personal Care,3,39.65,20,Card,False,Paid Search
O900191,C100158,2025-12-01,Home Care,3,60.0,15,Transfer,False,Affiliate
O900192,C100158,2025-03-30,Personal Care,2,32.25,0,Transfer,True,Influencer
O900193,C100158,2024-08-25,Supplements,3,57.22,15,Card,False,Affiliate
O900194,C100158,"Nov 20, 2025",Baby Care,2,19.92,15,Cash on Delivery,False,Affiliate
O900195,C100159,2024-06-02,Supplements,3,63.47,10,Card,False,Direct
O900196,C100159,2025-04-23,Personal Care,2,34.12,10,Transfer,False,Email
O900197,C100159,2025-01-29,Snacks,2,0,10,Card,False,Paid Search
O900198,C100159,2024-11-15,Home Care,2,35.1,15,Card,False,Paid Search
O900199,C100159,"Oct 31, 2024",Snacks,1,11.46,0,Transfer,False,Paid Social
O900200,C100160,2024/08/06,Home Care,5,95.29,10,Cash on Delivery,False,Email
O900201,C100160,06-20-2025,Beverages,1,7.94,10,Cash on Delivery,False,Email
O900202,C404404,2024-11-08,Beverages,-1,13.89,15,Cash on Delivery,False,Paid Search
O900203,C100162,09-26-2025,Personal Care,3,46.12,25,Wallet,False,Paid Search
O900204,C100162,2025-12-10,Baby,4,98.47,10,Wallet,True,Organic
O900205,C100162,2025-09-04,Snacks,2,25.28,5,Cash on Delivery,False,Influencer
O900206,C100163,23/07/2024,Baby Care,1,6.95,15,Wallet,False,Email
O900207,C100163,2024-07-02,Personal Care,3,43.76,20,Wallet,False,Direct
O900208,C100164,2024-07-13,Supplements,2,46.35,0,Wallet,False,Direct
O900209,C100164,2024-05-23,Personal Care,1,15.68,15,Transfer,False,Organic
O900210,C100164,2025-11-23,Supplements,2,50.46,5,Wallet,False,Email
O900211,C100164,2024-10-05,Baby,,73.21,10,Transfer,False,Paid Search
O900212,C100165,2025-07-21,Home Care,2,40.09,10,Wallet,False,Email
O900213,C100166,2025-12-03,Supplements,4,85.5,10,Transfer,False,Paid Search
O900214,C100167,2025-05-09,Supplements,4,94.89,-5,Wallet,False,Influencer
O900215,C100168,2025/04/20,Baby,4,116.71,0,Wallet,False,Organic
O900216,C100169,2025-09-09,Supplements,3,67.49,5,Card,False,Organic
O900217,C100171,2025-11-24,Supplements,2,45.12,5,Card,False,Organic
O900218,C100173,2025-12-14,Home Care,5,89.44,20,Wallet,False,Affiliate
O900219,,2024-05-08,Baby,2,48.94,10,Card,False,Affiliate
O900220,C100174,2025-02-07,Beverages,3,20.18,20,Card,False,Paid Search
O900221,C100176,2025-10-29,Supplements,2,44.55,15,Cash on Delivery,False,Paid Social
O900222,C100176,2025-12-08,Snacks,2,21.83,0,Transfer,False,Organic
O900223,C100176,2025-12-04,Home Care,2,35.95,15,Card,False,Email
O900224,C100176,2025-03-15,Snacks,2,19.48,0,Transfer,False,Email
O900225,C100176,27/03/2025,Snacks,3,33.4,0,Card,False,Paid Search
O900226,C100177,2024-12-23,Snacks,3,33.51,20,Transfer,False,Direct
O900227,C100178,02/12/2024,Baby,2,44.39,10%,Card,False,Paid Search
O900228,C100178,2025-08-04,Snacks,1,7.09,0,Wallet,False,Influencer
O900229,C100179,2025-12-03,Supplements,1,23.71,20,Card,False,Email
O900230,C100181,2025-09-10,Personal Care,6,79.51,20,Cash on Delivery,False,Direct
O900231,C100181,2025-07-16,Baby,2,49.84,10,Wallet,False,Affiliate
O900232,C100182,2025-09-28,Baby,3,70.99,10,Card,False,Influencer
O900233,C100183,2025-02-27,Home Care,4,88.21,0,Wallet,False,Email
O900234,,2025-03-09,Snacks,1,5.15,15,Card,False,Email
O900235,C100184,2024/08/09,Snacks,2,24.75,5,Wallet,False,Paid Search
O900236,C100185,"Jun 16, 2024",Beverages,7,56.97,10,COD,True,organic 
O900237,C100185,2025-01-11,Snacks,1,8.08,20,Wallet,False,Affiliate
O900238,C100185,2024-07-02,Beverages,6,47.05,20,Card,False,Affiliate
O900239,C100186,2025-11-13,Beverages,3,26.94,0,Card,False,Affiliate
O900240,C100187,2025/08/10,Home Care,4,88.68,0,Card,False,Organic
O900241,C100187,2025-11-13,Baby,4,108.71,5,Transfer,False,Email
O900242,C100188,29/11/2025,Home Care,2,42.52,5,Transfer,False,Organic
O900243,C100189,2025-05-01,Baby,3,83.04,0,Card,False,Direct
O900244,C100190,2025-05-21,Snacks,7,0,20,Transfer,False,Email
O900245,C100191,2025-04-19,Home Care,2,32.29,20,Wallet,False,Paid Social
O900246,C100191,2025-10-12,Personal Care,3,49.04,10,Transfer,False,Paid Social
O900247,C100193,2024-09-15,Supplements,2,43.14,0,card,False,Paid Search
O900248,C100193,2025-09-12,Baby Care,3,63.9,5,Cash on Delivery,False,Influencer
O900249,C100194,2025-04-05,Supplements,2,45.25,0,Transfer,False,Organic
O900250,C100195,2025-08-24,Supplements,3,71.39,0,Wallet,True,Email
O900251,C100195,2025-09-23,Home Care,2,48.34,0,Card,False,Organic
O900252,C100198,07-28-2025,Baby,4,96.95,15,Card,False,Paid Social
O900253,C100200,2025-04-03,Baby,3,$45.20,10,Wallet,False,Email
O900254,C100200,2025-12-31,Beverages,1,15.32,0,Wallet,False,Influencer
O900255,C100201,2024-12-28,Home Care,3,59.71,10,Transfer,False,Affiliate
O900256,C100201,2024-08-21,Personal Care,5,73.89,20,Cash on Delivery,False,Direct
O900257,C100202,2025-03-27,Personal Care,3,41.97,15,Wallet,False,Affiliate
O900258,C100204,2025-08-24,Supplements,1,24.68,0,Card,False,Organic
O900259,C100205,08-07-2025,Snacks,4,45.65,10,Wallet,False,Influencer
O900260,C100205,2024-08-04,home care,1,18.02,20,Cash on Delivery,False,Email
O900261,C100206,2024-11-25,Snacks,2,25.01,0,Cash on Delivery,False,Email
O900262,C100206,11-10-2025,Snacks,4,46.5,0,Transfer,False,Paid Search
O900263,C100206,2024-12-29,Supplements,1,25.88,5,Wallet,False,Paid Search
O900264,C100206,21/11/2024,Supplements,5,USD 29.99,15,Cash on Delivery,False,Paid Search
O900265,C100208,2025-06-08,Beverages,3,24.29,0,Transfer,False,Paid Search
O900266,C100209,2025-12-23,Baby Care,6,96.97,10,Wallet,False,Organic
O900267,C100214,2025/07/03,Baby,5,140.11,0,Wallet,False,Email
O900268,C100215,2025-05-19,Snacks,3,35.73,5,card,False,Influencer
O900269,C100217,2025-07-22,Baby,4,101.79,10,Transfer,False,Paid Search
O900270,C100218,2025-12-07,Baby Care,4,37.3,0,Card,False,Influencer
O900271,C100220,2025-09-26,Beverages,5,42.8,0,Cash on Delivery,False,Organic
O900272,C100222,2025-05-06,Snacks,1,7.98,25,cash,False,Affiliate
O900273,C100223,2024-11-01,Baby,2,50.26,10,Wallet,N,Paid Search
O900274,C100223,2025-07-19,Personal Care,2,34.77,10,Cash on Delivery,False,Affiliate
O900275,C100226,2025-03-11,Home Care,2,47.57,0,Cash on Delivery,True,Influencer
O900276,C100226,2024/05/29,Baby,3,86.78,0,Cash on Delivery,False,Direct
O900277,C100226,2025-09-01,Baby,3,65.9,15,Wallet,False,Paid Social
O900278,C100226,2024-06-15,Supplements,3,67.19,0,Transfer,True,Paid Search
O900279,C100228,2025-05-22,Beverages,1,7.27,5,Transfer,True,Email
O900280,C100228,2025-06-24,Baby,2,40.92,20,Transfer,False,Paid Search
O900281,C100229,2025-01-01,Personal Care,4,67.87,5,Card,False,Affiliate
O900282,C100229,2025-10-23,Baby Care,4,77.77,15,Wallet,False,Email
O900283,C100229,2024-08-30,Home Care,3,63.66,0,Cash on Delivery,False,Paid Search
O900284,C100229,2024-09-05,Supplements,3,75.59,-5,Transfer,False,Affiliate
O900285,C100230,2024-04-03,Beverages,3,19.21,5,Cash on Delivery,False,Paid Search
O900286,C100232,2025-12-04,Supplements,3,52.84,20,Bank Transfer,True,Direct
O900287,C100234,2025-11-15,Supplements,2,44.59,15,Card,False,Influencer
O900288,C100234,2025-12-15,Supplements,6,138.11,-5,Transfer,False,Organic
O900289,C100235,2024-11-25,Snacks,2,30.91,0,Transfer,False,Influencer
O900290,C100238,"Apr 10, 2025",Snacks,2,18.01,20,Cash on Delivery,False,Organic
O900291,C100238,2025-01-10,Supplements,3,76.98,0,Wallet,False,Paid Search
O900292,C100239,2025-07-21,Baby,2,46.62,10,Transfer,False,Paid Search
O900293,C100241,2025-09-05,Home Care,1,14.97,15,card,False,Affiliate
O900294,C100242,23/09/2025,Supplements,3,67.76,0,Cash on Delivery,True,Paid Social
O900295,C100242,2025-02-19,Home Care,3,64.97,0,Card,False,Direct
O900296,C100243,2025-07-13,Snacks,3,33.84,0,Wallet,False,Paid Social
O900297,C100247,2025-09-15,Beverages,2,12.84,20,Wallet,False,Paid Search
O900298,C100247,2025-05-01,Baby,3,72.85,25,Wallet,False,Direct
O900299,C100248,2024-09-24,Supplements,4,100.9,0,Wallet,False,Affiliate
O900300,C100248,2025-03-13,Baby,2,53.37,0,Transfer,False,Organic
O900301,C100248,2025-01-19,Home Care,3,68.8,5,Card,False,Direct
O900302,C100248,2024-11-30,Baby,6,136.51,20,Card,True,Organic
O900303,C100248,2025-04-08,Snacks,2,26.44,5,Transfer,False,Direct
O900304,C100248,2025-09-11,Home Care,4,82.99,5,Cash on Delivery,False,organic 
O900305,C100249,2025-06-05,Supplements,4,,10,Cash on Delivery,False,Paid Search
O900306,C100249,2025-12-19,Baby,4,113.3,0,Wallet,False,Paid Social
O900307,C100254,2025-09-12,Supplements,4,92.34,5,Wallet,False,Email
O900308,C100258,2025-06-16,Personal Care,2,38.27,0,Cash on Delivery,False,Email
O900309,C100258,2025-11-23,Snacks,4,40.47,20,Transfer,False,Direct
O900310,C100259,2024-12-30,Beverages,3,24.16,5,Card,False,Organic
O900311,C100259,2025-08-09,Beverages,1,8.03,20,Card,False,Paid Social
O900312,C100260,2024-08-15,Personal Care,7,114.41,5,Card,False,Direct
O900313,C100261,2025-11-19,Home Care,2,40.2,25,Wallet,False,Paid Social
O900314,C100262,2025-09-03,Home Care,3,63.71,0,Transfer,False,Email
O900315,C100262,2025-11-20,Personal Care,2,32.1,10,Wallet,False,Direct
O900316,C100262,03-14-2024,Baby,3,84.95,0,Cash on Delivery,1,Direct
O900317,C100262,2025-05-18,Snacks,4,51.09,5,Card,False,Email
O900318,C100263,2025/01/16,Supplements,5,119.77,0,Card,Y,Influencer
O900319,C100264,2025-03-04,Beverages,1,9.57,10,Transfer,False,Influencer
O900320,C100267,2025-01-22,Baby,1,23.73,5,Wallet,False,Paid Social
O900321,C100268,15/09/2025,home care,5,48.51,20,Cash on Delivery,False,Influencer
O900322,C100268,2024-11-01,Personal Care,6,88.98,15,Wallet,True,Affiliate
O900323,C100269,12-20-2025,Home Care,5,106.66,5,Transfer,False,Direct
O900324,C100270,2024-12-11,Snacks,3,35.47,0,Cash on Delivery,False,Influencer
O900325,C100271,2025-03-01,Personal Care,3,50.83,5,Cash on Delivery,False,Paid Social
O900326,C100271,2025-01-07,Home Care,7,153.17,0,Wallet,False,Organic
O900327,C100271,2024-05-13,Personal Care,3,52.76,15,Wallet,False,Direct
O900328,C100271,2024-07-24,Beverages,2,13.22,15,Transfer,False,Organic
O900329,C404404,2025-02-19,Baby,3,80.71,5,Transfer,N,Influencer
O900330,C100272,2024-11-21,Snacks,2,26.05,10,Card,False,Paid Social
O900331,C100272,2025-09-02,Home Care,4,86.39,0,Card,False,Paid Social
O900332,C100273,2024-11-20,Supplements,5,94.77,20,Transfer,True,Paid Search
O900333,C100276,2025-11-11,Personal Care,1,21.97,0,Transfer,False,Direct
O900334,C100276,2025-06-05,Baby Care,3,51.89,10,Wallet,False,Email
O900335,C100278,2024-09-29,Supplements,2,33.01,15,Transfer,True,Organic
O900336,C100279,2024-09-13,Snacks,3,$45.20,15,Wallet,False,Organic
O900337,C100282,2025-09-26,Personal Care,1,9.91,5,Card,False,Organic
O900338,C100282,2025-10-24,Personal Care,3,49.59,0,Wallet,False,Paid Social
O900339,C100284,2025-08-17,Baby,4,94.34,15,Card,True,Affiliate
O900340,C100287,2025-05-06,Supplements,2,37.4,15,Wallet,False,Paid Social
O900341,C100287,2025-11-13,Supplements,2,44.93,10,wallet ,False,Influencer
