lead_id,customer_id,campaign_id,lead_date,lead_source,landing_page,discount_offered_pct,lead_score,observed_region,converted_30d,conversion_date,acquisition_cost_usd
L500027,C100408,MKT2003,2025-02-08,CRM,/bundle-offer,5,29,North Central,No,,8
L500028,C100646,MKT2024,2025-08-23,Creator,/quiz,5,26,South South,Yes,2025-08-25,$16.13
L500029,C101116,MKT2016,2025-06-13,CRM,/quiz,15,52,South West,Yes,2025/07/10,USD 5.08
L500030,C101505,MKT2025,2025-08-22,Meta,/promo-summer,0,35,South West,No,,25.28
L500031,C100475,MKT2008,2025-04-04,Meta,/bundle-offer,10,23,South West,Yes,2025-05-03,15.12
L500032,C101775,MKT2030,2025-01-24,creator ,/bundle-offer,10,33,North Central,No,,8.87
L500033,C101710,MKT2028,2025-09-22,Google,/quiz,10,58,North Central,No,,14.45
L500034,C102007,MKT2028,2025-10-21,Google,/bundle-offer,20,52,South West,Yes,2025-11-01,19.74
L500035,C101345,MKT2010,2025-04-19,Google,/landing-a,10,49,South West,No,,17.15
L500036,C102373,MKT2031,2025-10-18,Meta,/promo-summer,10,26,North Central,No,,13
L500037,C100273,MKT2027,2025-05-16,Google,/new-arrivals,5,62,South South,No,,17.87
L500038,C101561,MKT2017,2025-06-19,Meta,/new-arrivals,5,33,North West,No,,$16.02
L500039,C101123,MKT2007,22/03/2025,Creator,/quiz,10,19,North Central,No,,17.11
L500040,C101142,MKT2018,2025-08-21,Meta,/quiz,10,26,South South,Yes,2025-09-19,12.15
L500041,C101185,MKT2011,2025-05-03,CRM,/new-arrivals,20,26,North West,No,,5.34
L500042,C101399,MKT2022,"Aug 08, 2025",CRM,/quiz,10,45,South West,No,,4.8
L500043,C101890,MKT2028,2025-10-10,Google,/quiz,10,23,North West,No,,$20.21
L500044,C102181,MKT2021,2025-12-09,Partner,/quiz,10,35,North West,No,,6.58
L500045,C101558,MKT2003,2025-02-15,CRM,/landing-a,0,76,South West,Yes,03-11-2025,$13.93
L500046,C101507,MKT2004,2025-09-02,Partner,/promo-summer,15,20,South South,No,,4.84
L500047,C100841,MKT2020,2025-04-27,CRM,/landing-a,10,55,South West,No,,$8.30
L500048,C101631,MKT2008,2025-04-07,Meta,/landing-a,5,54,South West,No,,15.38
L500049,C100456,MKT2005,2025-02-28,Meta,/quiz,20,19,South South,Yes,2025-03-24,9.24
L500050,C100117,MKT2014,2025-10-12,Google,/promo-summer,0,58,North Central,No,,$17.54
L500051,C101552,MKT2026,2025-08-30,Google,/new-arrivals,10,24,South East,No,,21.91
L500052,C100525,,2025-10-16,Meta,/new-arrivals,10,40,south west,Yes,2025-11-12,10.89
L500053,C100731,MKT2026,2025-09-08,Google,/quiz,10,34,South South,No,,$20.75
L500054,C100956,MKT2033,2025-10-31,Programmatic,/landing-b,20,50,South West,Yes,2025-11-06,9.67
L500055,C101490,MKT2030,2025-01-31,Programmatic,/new-arrivals,10,44,North Central,No,,USD 4.86
L500056,C102399,MKT2005,03-07-2025,Meta,/landing-b,15,37,South West,Yes,2025-03-20,15.65
L500057,C102354,MKT2017,2025-06-14,Meta,/new-arrivals,10,16,South East,No,,$16.42
L500058,C101291,MKT2016,"Jun 17, 2025",CRM,/bundle-offer,0,47,South South,No,,2.88
L500059,C101100,MKT2002,2025-02-12,Google,/landing-a,0,41,South South,No,,20.17
L500060,C102188,MKT2028,2025-09-18,Google,/bundle-offer,10,58,South South,Yes,"Oct 04, 2025",12.72
L500061,,MKT2019,2025-07-10,Meta,/bundle-offer,0,15,South South,Yes,2025-07-22,11.47
L500062,C100533,MKT2025,2025-09-02,Meta,/bundle-offer,15,37,South West,No,,16.13
L500063,C101758,MKT2018,"Aug 25, 2025",Meta,/landing-a,10,16,North Central,No,,15.3
L500064,C101899,MKT2001,2025-02-08,Google,/new-arrivals,15,40,South West,No,,24.25
L500065,C101909,MKT2027,2025-04-18,Google,/quiz,0,51,South West,Yes,2025-05-13,16.75
L500066,C101922,MKT2031,"Nov 06, 2025",Meta,/landing-a,20,42,South West,Yes,14/11/2025,11.89
L500067,C102273,MKT2005,27/02/2025,Meta,/promo-summer,0,34,South South,No,,$8.36
L500068,C102219,MKT2001,2025-01-16,Google,/landing-a,0,25,South West,No,,15.29
L500069,C101813,MKT2004,2025-09-03,Partner,/landing-b,10,17,South South,No,,15.18
L500070,C101493,MKT2002,2025-02-22,Google,/landing-a,15,52,South South,Yes,02-26-2025,11.15
L500071,C100206,MKT2030,2025-01-31,Programmatic,/quiz,0,32,North West,No,,12.48
L500072,C101446,MKT2026,2025-08-29,Google,/bundle-offer,15,19,North West,No,,17.56
L500073,C100974,MKT2014,"Oct 22, 2025",Google,/quiz,0,16,North Central,No,,USD 15.57
L500074,C101254,MKT2025,2025-09-22,Meta,/bundle-offer,20,33,South South,No,,11.6
L500075,C101756,MKT2007,2025-03-16,Creator,/quiz,0,51,South West,No,,24.47
L500076,C102124,MKT2016,2025-06-06,CRM,/landing-b,0,60,North Central,Yes,2025-06-12,10.09
L500077,C100167,MKT2008,2025-04-23,crm,/quiz,10,11,South East,No,,11.69
L500078,C100559,MKT2023,2025-08-27,CRM,/promo-summer,0,64,South West,Yes,2025/08/28,3.01
L500079,C102005,MKT2026,2025-09-06,Google,/landing-b,10,50,South South,No,,17.46
L500080,C100639,MKT2004,2025-09-02,Partner,/promo-summer,0,34,South West,No,,17.56
L500081,C101406,MKT2011,2025-04-15,CRM,/landing-a,20,high,South West,No,,3.08
L500082,C100465,MKT2012,2025-05-23,Partner,/new-arrivals,0,66,South West,No,,$15.08
L500083,C101563,MKT2024,2025-09-12,Creator,/promo-summer,15,44,South South,No,,23
L500084,C100976,MKT2030,2025-01-24,Programmatic,/landing-b,15,10,South West,No,,14
L500085,C101663,MKT2008,2025-04-04,Meta,/promo-summer,20,34,South South,No,,20
L500086,C101927,MKT2000,2025-05-11,Meta,/landing-b,0,45,North Central,No,,17.83
L500087,C101122,MKT2015,2025-05-25,Google,/new-arrivals,10,35,North West,Yes,2025-06-08,13.02
L500088,C100890,MKT2012,2025-04-28,Partner,/new-arrivals,0,14,South West,Yes,2025-05-28,14.02
L500089,C100087,MKT2032,2025-10-22,Google,/promo-summer,10,5,North West,No,,15
L500090,C101075,MKT2028,2025-09-29,Google,/quiz,15,47,South South,No,,14.92
L500091,C102190,MKT2008,2025-04-13,Meta,/new-arrivals,0,9,South West,Yes,2025-05-12,10
L500092,C102318,MKT2025,2025-08-25,Meta,/promo-summer,0,15,North West,No,,15
L500093,C100377,MKT2018,2025-08-11,Meta,/promo-summer,5,17,North Central,Yes,2025-09-07,14.31
L500094,C101681,MKT2034,07/11/2025,Meta,/bundle-offer,20,48,South West,Yes,2025-11-29,14.76
L500095,C100191,MKT2018,2025-08-25,Meta,/promo-summer,15,9,South South,No,,7.27
L500096,C102123,MKT2017,2025-07-05,Meta,/bundle-offer,5,31,South West,No,,15.0
L500097,C101633,MKT2015,2025-06-05,Google,/promo-summer,20,45,South East,No,,19.19
L500098,C102156,MKT2015,2025-05-23,Google,/landing-b,20,69,North Central,Yes,"May 30, 2025",20.48
L500099,C100581,MKT2018,2025-08-04,Meta,/bundle-offer,0,22,North West,No,,$10.71
L500100,C101316,MKT2030,2025-01-19,Programmatic,/bundle-offer,15,44,South South,No,,13.03
L500101,C100125,MKT2015,2025-05-26,Google,/landing-a,15,28,South West,No,,18.5
L500102,C102047,MKT2001,2025-01-18,Google,/quiz,0,33,North West,No,,$21.83
L500103,C101179,MKT2016,2025-06-01,CRM,/promo-summer,15,63,North Central,No,,4.51
L500104,C101725,MKT2035,2025-12-12,Google,/landing-b,5,33,South West,Yes,2025-12-24,17.94
L500105,C102194,MKT2008,2025-03-18,Meta,/bundle-offer,20,33,North Central,Yes,2025-03-21,$21.59
L500106,C101383,MKT2021,2025-12-20,Partner,/landing-a,15,37,south west,Yes,2026-01-05,$12.96
L500107,C100384,MKT2034,29/06/2025,Meta,/quiz,5,21,South South,No,,9.63
L500108,C100342,MKT2017,"Jun 07, 2025",Meta,/quiz,-5,18,North West,No,,16.65
L500109,C102354,MKT2012,17/06/2025,Partner,/promo-summer,0,60,South East,No,,13.2
L500110,C101924,MKT2025,2025-09-17,Meta,/bundle-offer,5,31,South South,Yes,2025-10-06,17.56
L500111,C100409,MKT2001,2025-02-16,Google,/new-arrivals,20,24,South South,Yes,2025-02-22,12.6
L500112,C101711,MKT2002,30/01/2025,Google,/bundle-offer,10,55,North Central,Yes,2025-02-23,18.92
L500113,C101788,MKT2020,2025/05/04,CRM,/bundle-offer,10,37,North West,No,,6
L500114,C101168,MKT2035,11-17-2025,Google,/landing-a,10,42,North West,No,,$24.29
L500115,C100181,MKT2032,2025-10-25,Google,/bundle-offer,0,21,North Central,No,,15.28
L500116,C101596,MKT2028,09-17-2025,Google,/bundle-offer,15,49,South South,No,,$28.13
L500117,C100009,MKT2002,2025-01-25,Google,/bundle-offer,0,55,South West,No,,18.78
L500118,C100518,MKT2011,2025-04-24,CRM,/quiz,10,89,South South,No,,1.0
L500119,C100906,MKT2009,2025-04-05,Creator,/bundle-offer,15,6,South East,Yes,2025-04-10,$23.12
L500120,C100089,MKT2005,02-21-2025,Meta,/bundle-offer,20,36,North West,No,,10.1
L500121,C100323,MKT2014,10-09-2025,Google,/landing-a,15,17,North West,No,,24.25
L500122,C102016,MKT2018,2025/08/12,Meta,/landing-b,0,44,South South,Yes,2025-08-29,10.37
L500123,C101471,MKT2004,2025-09-02,Partner,/promo-summer,20,35,North West,Yes,09-21-2025,$11.78
L500124,C100119,MKT2026,2025-09-20,Google,/new-arrivals,10,68,South West,Yes,2025-09-21,$12.21
L500125,C100145,MKT2017,22/06/2025,Meta,/new-arrivals,10,62,South West,No,,12.57
L500126,C101944,MKT2034,2025-09-24,Meta,/landing-b,15,37,South South,Yes,2025-09-28,$8.60
L500127,C100273,MKT2035,2025-12-11,Google,/bundle-offer,10,63,South South,Yes,2025-12-13,USD 17.36
L500128,C101691,MKT2014,2025-10-15,Google,/promo-summer,5,38,South South,No,,13.56
L500129,C102129,MKT2023,2025-08-04,CRM,/new-arrivals,5,36,North Central,No,,4.43
L500130,C101372,MKT2010,2025-05-27,Google,/quiz,15,47,South West,No,,17.58
L500131,C100987,MKT2016,2025-06-06,CRM,/bundle-offer,0,58,South West,No,,5.25
L500132,C100230,MKT2013,2025-01-29,Meta,/promo-summer,0,35,North West,No,,15.84
L500133,C102221,MKT2008,2025-03-21,Meta,/bundle-offer,10,23,South South,No,,15.64
L500134,C101658,MKT2013,2025-05-22,Meta,/new-arrivals,10,31,South South,No,,21.14
L500135,C100776,MKT2026,2025-09-15,Google,/promo-summer,10,53,South South,No,,17.33
L500136,C101253,MKT2026,2025/09/05,partner,/landing-a,10,50,South South,No,,18.29
L500137,C100446,MKT2024,2025-08-10,Creator,/bundle-offer,10,35,South West,Yes,2025/08/21,$15.40
L500138,C102238,MKT2021,2025/12/16,Partner,/landing-a,10,45,South West,No,,16.26
L500139,C100298,MKT2026,2025-09-08,Google,/promo-summer,0,54,South West,No,,9.71
L500140,C101136,MKT2034,25/10/2025,Meta,/promo-summer,10,56,South West,No,,14.08
L500141,C100265,MKT2019,2025-06-30,Meta,/new-arrivals,0,39,South South,No,,13.19
L500142,C100496,MKT2025,2025-08-20,Meta,/landing-b,10%,42,South West,Yes,2025-09-07,19.78
L500143,C100520,MKT2025,2025-08-30,Meta,/landing-b,15,27,South South,No,,13.88
L500144,C100799,MKT2022,2025-07-23,CRM,/promo-summer,20,33,South West,No,,$9.60
L500145,C101570,MKT2000,09/05/2025,Meta,/quiz,0,35,North Central,No,,$6.95
L500146,C100266,MKT2030,2025-01-17,Programmatic,/landing-a,5,9,South East,No,,7.68
L500147,C100536,MKT2028,2025-09-15,email,/landing-a,15,42,South South,No,,20.41
L500148,C100284,MKT2003,2025-02-06,CRM,/promo-summer,0,49,North Central,Yes,2025-02-25,1.0
L500149,C100365,MKT2000,2025-06-02,Meta,/new-arrivals,15,33,North Central,Yes,2025-06-28,10.92
L500150,,MKT2010,2025-04-19,Google,/landing-a,0,5,South East,No,,16.93
L500151,C101748,MKT9999,2025-09-07,Meta,/new-arrivals,0,31,South South,No,,16.55
L500152,C101502,MKT9999,2025-02-24,Meta,/landing-b,10,7,North Central,No,,USD 15.62
L500153,C100577,MKT2032,2025-10-30,Google,/bundle-offer,20,44,North West,No,,13.88
L500154,C100817,MKT2013,2025-04-02,Meta,/quiz,0,5,South East,No,,17.74
L500155,C100334,MKT2012,2025-05-29,Partner,/new-arrivals,0,57,South West,Yes,2025-06-08,15
L500156,C100366,MKT2008,2025-04-12,Meta,/new-arrivals,0,66,North Central,Yes,2025-05-07,11.72
L500157,C101055,MKT2015,"May 26, 2025",Google,/landing-b,0,46,South South,Yes,2025-06-11,19.04
L500158,C100430,MKT2026,2025-09-05,Google,/bundle-offer,0,32,South West,No,,19.6
L500159,C101639,MKT2031,2025-10-18,Meta,/promo-summer,0,25,North West,Yes,2025-11-16,4.63
L500160,C100583,MKT2015,2025-05-26,Google,/bundle-offer,15,60,North Central,No,,$16.54
L500161,C101316,MKT2024,2025-08-12,Creator,/quiz,0,27,South South,No,,22.0
L500162,C100691,MKT2008,01/04/2025,Meta,/bundle-offer,10,35,North West,No,,$13.92
L500163,C10012,MKT2024,2025-08-12,Creator,/landing-a,20,30,South South,Yes,2025-09-01,27.85
L500164,C100222,MKT2003,2025-02-02,CRM,/landing-b,0,34,South South,No,,$6.08
L500165,C100710,MKT2003,2025-02-01,CRM,/bundle-offer,20,44,North Central,No,,7.77
L500166,C100196,MKT2014,"Oct 31, 2025",Google,/landing-b,0,34,North Central,Yes,2025-11-22,19.3
L500167,C101848,MKT2019,2025-07-16,Meta,/promo-summer,10,51,South West,No,,19.23
L500168,C100665,MKT2021,2026-01-07,Partner,/landing-b,15,54,South West,No,,7.45
L500169,C101067,MKT2023,2025-08-07,CRM,/landing-b,5,44,South East,No,,$1.00
L500170,C100513,MKT2026,2025-09-14,Google,/landing-b,0,54,South South,No,,$13.34
L500171,C100996,MKT2015,2025-06-02,Google,/landing-b,20,48,North Central,No,,20.71
L500172,C100385,MKT2002,2025-02-01,Google,/quiz,10,17,North West,No,,18.23
L500173,C100057,MKT2012,2025-06-13,Partner,/landing-a,15,13,North West,No,,14.31
L500174,C101769,MKT2028,2025-10-06,Google,/landing-a,10,42,North Central,No,,31.13
L500175,C102394,MKT2009,"May 05, 2025",Creator,/new-arrivals,0,23,South South,No,,17.74
L500176,C100637,MKT2023,2025-08-15,CRM,/promo-summer,20,47,North Central,No,,7.34
L500177,C100018,MKT2008,2025-03-23,Meta,/quiz,10,34,North Central,No,,9.97
L500178,C101572,MKT2015,2025-06-05,Google,/quiz,0,16,North Central,No,,12.33
L500179,C100998,MKT2014,2025-10-08,Google,/landing-b,10,58,North West,No,,20.03
L500180,C102313,MKT2022,2025-08-15,CRM,/landing-b,20,16,North West,No,,8.91
L500181,C100006,MKT2015,06-09-2025,Google,/bundle-offer,20,27,South West,No,,16.54
L500182,C101181,MKT2003,12/02/2025,CRM,/new-arrivals,10,65,South South,Yes,02-19-2025,9.96
L500183,C101499,MKT2021,2025-12-28,Partner,/landing-a,15,5,North West,No,,15.37
L500184,C101574,MKT2026,2025-09-22,Google,/bundle-offer,20,28,North West,Yes,2025-09-22,21.69
L500185,C101762,MKT2017,2025-06-21,Meta,/new-arrivals,10,64,South West,Yes,2025-07-21,13.02
L500186,C100055,MKT2023,14/08/2025,CRM,/quiz,10,27,South West,Yes,2025-09-02,2.65
L500187,C101349,MKT2014,2025-10-19,Google,/bundle-offer,0,48,South West,No,,18.0
L500188,C100705,MKT2002,02-04-2025,Google,/bundle-offer,0,37,South East,Yes,02-16-2025,21.06
L500189,C102126,MKT2029,2025-10-21,Google,/new-arrivals,10,36,South West,Yes,2025-10-30,$16.17
L500190,C102242,MKT2020,"May 31, 2025",CRM,/bundle-offer,0,63,South South,Yes,2025-06-05,3.9
L500191,C101751,MKT2020,2025-06-28,CRM,/landing-b,10,44,South South,Yes,2025-07-15,USD 6.73
L500192,C101870,MKT2017,2025-06-21,Meta,/promo-summer,0,42,South West,No,,10.25
L500193,C100172,MKT2028,2025-10-23,Google,/quiz,0,5,North Central,No,,25.83
L500194,C101921,MKT2024,2025-08-19,Creator,/bundle-offer,10,67,South South,Yes,2025-08-29,18.6
L500195,C101923,MKT2009,2025-04-06,Creator,/promo-summer,0,45,South South,Yes,04-17-2025,16.35
L500196,C102097,MKT2003,2025-02-19,CRM,/bundle-offer,10, 42,South West,Yes,2025-03-06,2.96
L500197,C100021,MKT2010,2025-04-24,Google,/landing-a,10,47,South South,No,,20.56
L500198,C100557,MKT2017,02/07/2025,Meta,/quiz,0,53,North Central,Yes,2025-07-18,USD 11.65
L500199,C101615,MKT2017,06/06/2025,Meta,/promo-summer,20,53,South West,Yes,2025-06-09,6.36
L500200,C101897,MKT2014,2025-10-19,Google,/landing-b,10,47,North West,No,,20.08
L500201,,MKT2021,12-30-2025,Partner,/landing-b,5,38,North Central,Yes,2026-01-02,14.9
L500202,C101465,MKT2013,2025/05/26,Meta,/landing-a,15,43,South East,No,,11.22
L500203,C100000,MKT2031,2025-11-03,Meta,/bundle-offer,0,8,South West,No,,$7.36
L500204,C101319,MKT2020,2025-06-21,CRM,/landing-a,0,44,South East,Yes,"Jul 10, 2025",2.94
L500205,C101384,MKT2021,2025-12-21,Partner,/bundle-offer,5,23,North Central,No,,8.53
L500206,C101692,MKT2013,2025-04-07,Meta,/landing-b,5,41,North Central,No,,18.56
L500207,C100963,MKT2013,2025-04-11,Meta,/landing-b,10,60,South South,Yes,"Apr 12, 2025",16
L500208,C101390,MKT2024,2025/09/08,Creator,/bundle-offer,10,5,North Central,Yes,2025-09-30,20.68
L500209,C101101,MKT2025,2025-08-18,Meta,/landing-b,0,22,South West,No,,14.75
L500210,C101148,MKT2008,"Apr 03, 2025",Meta,/quiz,10,14,North West,No,,USD 19.17
L500211,C102132,MKT2001,2025-02-01,Google,/landing-a,20,45,North West,Yes,"Mar 01, 2025",14.62
L500212,C101065,MKT2029,2025-10-01,Google,/landing-a,15,21,South West,No,,13.63
L500213,C100216,MKT2012,2025-06-08,Partner,/new-arrivals,-5,30,South East,No,,20.02
L500214,C101823,MKT2026,2025-09-15,Google,/promo-summer,10,28,South West,Yes,2025/09/15,12.74
L500215,C101852,MKT2006,2025-03-07,Meta,/promo-summer,0,20,South South,No,,16.07
L500216,C100062,MKT2011,2025-05-01,CRM,/landing-a,10,35,South West,Yes,2025-05-02,$2.66
L500217,C101383,MKT2013,2025-04-15,Meta,/landing-b,0,46,south west,Yes,2025-05-03,10.73
L500218,C100722,MKT2009,2025/04/12,Creator,/promo-summer,15,46,South West,No,,12.1
L500219,C100344,MKT2023,"Aug 23, 2025",CRM,/new-arrivals,10,56,South West,Yes,2025/09/05,10.6
L500220,C100063,MKT2006,"Mar 16, 2025",Meta,/landing-b,10,26,North Central,No,,11.56
L500221,C101670,MKT2005,2025-02-20,Meta,/landing-b,20,48,South West,Yes,2025-03-12,USD 15.46
L500222,C100951,MKT2032,2025-11-12,Google,/landing-b,10,26,South South,No,,15.02
L500223,C100033,MKT2023,2025-08-16,CRM,/promo-summer,5,54,South West,No,,USD 4.42
L500224,C101747,MKT2031,2025-11-15,Meta,/new-arrivals,10,42,South West,No,,17.44
L500225,C100231,MKT2019,13/08/2025,Meta,/bundle-offer,10,62,south west,Yes,2025-09-10,14.75
L500226,C101705,MKT2035,"Nov 23, 2025",Google,/landing-a,0,34,South West,Yes,2025-12-18,24.41
L500227,C101864,MKT2004,2025-09-02,Partner,/bundle-offer,0,54,South West,No,,18.84
L500228,C100395,MKT2007,2025-04-10,Creator,/landing-b,0,29,North Central,Yes,2025-04-19,26.9
L500229,C102174,MKT2019,2025-06-27,Meta,/bundle-offer,10,77,South West,Yes,2025-07-09,18.2
L500230,C101766,MKT2011,2025-04-24,CRM,/promo-summer,15,5,North West,No,,$3.42
L500231,C100047,MKT2028,2025-09-22,Google,/promo-summer,10,45,North Central,No,,$17.43
L500232,C101657,MKT2026,09-15-2025,Google,/quiz,10,35,North West,No,,21.4
L500233,C101931,MKT2001,2025-01-19,Google,/bundle-offer,15,18,North Central,No,,22.26
L500234,C101837,MKT2023,2025-08-24,CRM,/quiz,5,30,South East,Yes,2025/09/18,6.72
L500235,C101248,MKT2020,2025-07-05,CRM,/new-arrivals,5,37,South South,No,,5.19
L500236,C101208,MKT2032,2025-11-01,Google,/quiz,10,56,South West,No,,12.61
L500237,C101400,MKT2011,2025-04-29,CRM,/quiz,20,42,South West,No,,3.25
L500238,C100013,MKT2020,16/04/2025,CRM,/bundle-offer,20,51,South West,Yes,2025-04-17,1.0
L500239,C101650,MKT2012,2025-05-01,Partner,/landing-a,5,35,South West,No,,19.7
L500240,C100991,MKT2006,2025-03-14,Meta,/landing-a,15,58,South South,Yes,2025-04-10,13.29
L500241,C100844,MKT2035,2025-12-11,Google,/new-arrivals,20,40,South West,Yes,2025-12-19,12.19
L500242,C101978,MKT2001,2025-02-07,email,/landing-b,5,71,South West,No,,$20.33
L500243,C100232,MKT2006,"Mar 11, 2025",Meta,/bundle-offer,10,21,North West,No,,$23.38
L500244,C101718,MKT2019,2025-08-03,Meta,/bundle-offer,0,39,South West,Yes,2025-08-17,15
L500245,C101489,MKT2022,2025-07-21,CRM,/landing-a,0,34,South West,No,,4.8
L500246,C100891,MKT2000,2025-06-06,Meta,/bundle-offer,5,51,South West,Yes,2025-06-25,9.99
L500247,C100790,MKT2035,2025-12-08,Google,/promo-summer,5,35,South West,No,,USD 18.08
L500248,C100457,MKT2027,2025-04-26,Google,/landing-a,0,high,North West,No,,13.68
L500249,C100695,MKT2000,2025-05-27,Meta,/landing-b,20,26,North Central,No,,USD 15.47
L500250,C100384,MKT2030,2025-01-19,Programmatic,/landing-b,0,32,South South,Yes,2025-01-24,12.02
L500251,C101958,MKT2013,2025-02-04,Meta,/quiz,20,27,North Central,No,,10.97
L500252,C101104,MKT2009,2025-04-16,Creator,/quiz,10,45,South South,No,,19.71
L500253,C100696,MKT2018,2025-08-17,Meta,/bundle-offer,20,40,North West,No,,15.38
L500254,C101155,MKT2029,2025-10-14,Google,/promo-summer,20,22,North West,No,,23.5
L500255,C101783,MKT2025,2025-08-26,Meta,/landing-b,10,14,North Central,No,,10.83
L500256,C101110,MKT2030,2025-02-05,Programmatic,/bundle-offer,15,11,South West,No,,USD 10.28
L500257,C102325,MKT2017,06-12-2025,Meta,/landing-b,5,37,South West,No,,USD 19.60
L500258,C102245,MKT2000,2025-05-14,Meta,/landing-a,0,51,South West,Yes,2025-05-14,16.51
L500259,C101082,MKT2033,2025-11-12,Programmatic,/quiz,10,47,South South,No,,6.86
L500260,C101868,MKT2018,2025-08-05,Meta,/landing-a,0,57,South West,Yes,28/08/2025,USD 17.50
L500261,C101770,MKT2008,2025-04-11,Meta,/landing-b,20,43,South West,Yes,2025-05-06,24.55
L500262,C101265,MKT2027,13/04/2025,Google,/landing-b,0,52,South East,Yes,2025-05-10,23.12
L500263,C101937,MKT2000,2025-05-16,Meta,/new-arrivals,10,18,South West,Yes,2025-06-13,15
L500264,C102236,MKT2009,2025-04-23,Creator,/landing-b,0,27,South West,No,,20.15
L500265,C102395,MKT2015,2025-06-14,Google,/quiz,15,35,South South,Yes,2025-07-12,17.52
L500266,C101665,MKT2013,03-19-2025,Meta,/landing-b,0,13,North Central,No,,9.33
L500267,C100963,MKT2009,2025-04-19,Creator,/bundle-offer,10,40,South South,Yes,2025-05-11,18.9
L500268,C101617,MKT2024,2025-08-12,Creator,/landing-a,20,53,South South,Yes,2025-08-31,18.07
L500269,C100957,MKT2007,2025-03-25,Creator,/promo-summer,10,55,South South,No,,21.8
L500270,C101887,MKT2008,2025-03-26,Meta,/bundle-offer,0,47,South West,Yes,2025-04-16,$15.81
L500271,C101358,MKT2031,2025/11/15,Meta,/new-arrivals,20,48,North Central,Yes,2025-11-26,17.08
L500272,C101430,MKT2034,2025-06-16,Meta,/landing-a,15,59,South West,Yes,2025-06-18,10.43
L500273,C100878,MKT2007,2025-03-18,Creator,/new-arrivals,0,35,South West,No,,23.39
L500274,C100064,MKT2007,03-16-2025,Creator,/bundle-offer,10,5,South South,No,,$23.89
L500275,C100220,MKT2003,2025-02-16,CRM,/quiz,0,5,North Central,Yes,2025-03-06,1.0
L500276,C102334,MKT2001,2025-02-17,Google,/new-arrivals,10,40,South East,No,,11.66
L500277,C100370,MKT2004,"Sep 02, 2025",Partner,/quiz,10,39,South South,Yes,"Sep 05, 2025",11
L500278,C100180,MKT2005,2025/03/05,Meta,/bundle-offer,0,40,South West,Yes,2025-03-25,13.53
L500279,C100241,MKT2006,2025-03-09,Meta,/landing-a,5,50,South South,No,,11.06
L500280,C102015,MKT2015,2025-06-06,Google,/promo-summer,0,52,South West,No,,20.86
L500281,C102109,MKT2012,2025-05-27,Partner,/promo-summer,20,53,South South,Yes,2025-06-05,5.39
