session_id,customer_id,campaign_id,session_date,device,channel_group,pages_viewed,time_on_site_sec,bounce,add_to_cart,checkout_started,geo_region
S800139,C101168,MKT2013,2025-09-25 05:34:49,Mobile,Paid Social,5,337,False,False,False,North West
S800140,C100914,MKT2019,2025/04/28,Mobile,Paid Social,6,360,False,True,False,South West
S800141,C102389,MKT2007,12-27-2025,Mobile,Influencer,7,178,True,True,True,North West
S800142,C101676,MKT2031,2025-05-08 22:47:30,Mobile,Paid Social,7,306,False,False,False,North Central
S800143,C101148,MKT2018,2025/09/30,Mobile,Paid Social,5,324,False,True,False,North West
S800144,C100982,MKT2024,2025-06-14 12:59:17,Mobile,Influencer,4,57,True,False,False,North Central
S800145,C100792,MKT2022,2025-04-12 09:48:17,Mobile,Email,3,270,False,False,False,South South
S800146,C101577,MKT2006,2025-11-13 23:12:36,Mobile,Paid Social,3,348,True,False,False,South South
S800147,C101731,MKT2001,2025-11-03 21:57:54,Mobile,Paid Search,6,229,True,False,False,South South
S800148,C101094,,2025-03-26 03:02:31,Mobile,Referral,7,318,False,False,False,South South
S800149,C100623,MKT2018,2025-11-25 04:02:51,Mobile,Paid Social,2,344,True,False,False,South West
S800150,C101925,MKT2005,2025-08-26 03:43:36,Mobile,Paid Social,6,145,True,True,False,South West
S800151,C102164,MKT2011,"Sep 10, 2025",Mobile,Email,4,8,True,False,False,South East
S800152,C101929,,2025-03-22,Mobile,Email,4,180,False,False,False,South West
S800153,C102092,MKT2032,2025-04-09 13:18:51,Mobile,Paid Search,10,195,False,True,False,South West
S800154,C101835,MKT2011,2025-01-08 18:15:59,Mobile,Email,6,8,True,False,False,South West
S800155,C101730,,2025-05-23 06:34:16,Mobile,Email,4,279,False,True,True,South West
S800156,C100807,,2025-01-10 00:10:19,Mobile,Email,3,200,False,False,False,North West
S800157,C100792,MKT2024,2025-06-30 21:23:07,Mobile,Influencer,9,120,False,False,False,South South
S800158,C100663,MKT2009,2025-10-27 22:49:25,Mobile,Influencer,4,155,False,True,False,South West
S800159,C100499,MKT2032,"Jan 19, 2025",Desktop,Paid Search,10,278,True,False,False,North Central
S800160,C102182,MKT2019,2025-03-20 02:55:04,Mobile,Paid Social,4,202,False,False,False,South West
S800161,C100529,MKT2021,2025-01-29 21:17:01,Mobile,Affiliate,4,459,False,False,False,South West
S800162,C102001,MKT2028,2025-05-08 04:06:09,Mobile,Paid Search,5,12,True,False,False,North West
S800163,C102295,MKT2029,2025-12-20 21:25:40,Mobile,Paid Search,1,175,False,False,False,South West
S800164,C101123,,2025-08-23 17:52:59,Tablet,Referral,4,287,True,True,True,North Central
S800165,C102192,MKT2022,2025-12-20 06:34:54,Mobile,Email,8,296,False,False,False,North Central
S800166,C101061,MKT2010,2025-05-10 19:07:57,Mobile,Paid Search,4,292,False,False,False,South West
S800167,C101761,MKT2003,2025-07-09 21:53:11,Tablet,Email,4,103,False,False,False,South West
S800168,C102167,,02-16-2025,Mobile,Direct,8,333,False,True,False,South West
S800169,C100905,,09-20-2025,Mobile,Direct,2,69,True,True,False,South South
S800170,C101259,MKT2031,2025-05-15 07:06:48,Mobile,Paid Social,4,319,False,False,False,South South
S800171,C100153,MKT2006,2025-12-22 05:14:52,Mobile,Paid Social,5,29,True,False,False,South South
S800172,C102353,MKT2005,2025-04-09 14:45:02,Mobile,Paid Social,7,165,False,True,False,North Central
S800173,C102173,,2025-01-21 02:43:04,Desktop,Direct,4,8,False,True,False,South West
S800174,C100368,MKT2006,2025-11-27,Mobile,Paid Social,5,223,True,False,False,South West
S800175,C102370,MKT2000,2025-03-23 05:28:28,Mobile,Paid Social,6,195,True,False,False,South South
S800176,C101610,,2025-09-16 12:27:29,Mobile,Direct,7,253,False,False,False,North West
S800177,C100018,,2025-09-21 17:01:24,Tablet,Email,5,352,False,True,False,North Central
S800178,C101504,MKT2029,03-20-2025,Mobile,Paid Search,2,166,False,False,False,South West
S800179,C102177,MKT2026,05/01/2025,Mobile,Paid Search,6,250,True,False,False,South West
S800180,C101881,MKT2027,2025-01-31 23:46:33,Desktop,Paid Search,7,343,False,False,False,South South
S800181,C101412,MKT2035,"Dec 03, 2025",Desktop,Paid Search,6,344,False,True,False,South West
S800182,C102248,MKT2026,2025-06-28 04:15:18,Desktop,Paid Search,6,278,False,True,False,South South
S800183,C101177,MKT2035,2025-05-01 01:25:18,Mobile,Paid Search,4,78,False,True,True,North Central
S800184,C100130,MKT2034,22/11/2025,Mobile,Paid Social,4,231,True,False,False,South West
S800185,C100770,MKT2021,2025-09-22 06:06:49,Mobile,Affiliate,4,345,False,True,True,North West
S800186,C101746,MKT2024,"Nov 29, 2025",Mobile,Influencer,6,57,False,False,False,South South
S800187,C102102,,2025-11-25 13:06:54,Mobile,Email,5,348,False,False,False,North Central
S800188,C101897,MKT2028,2025-11-10 21:10:46,Mobile,Paid Search,6,133,False,False,False,North West
S800189,C101780,MKT2026,2025-09-22 09:59:27,Mobile,Paid Search,6,8,False,False,False,South West
S800190,C100011,MKT2017,2025-11-02 17:33:38,Mobile,Paid Social,2,71,True,False,False,South East
S800191,C100278,MKT2027,2025-05-12,Mobile,Paid Search,9,265,False,True,False,South West
S800192,C102343,MKT2011,2025-10-25 17:51:44,Desktop,Email,5,18,True,False,False,South South
S800193,C101008,,2025-08-01,Mobile,Referral,6,305,False,True,True,South South
S800194,C101681,MKT2024,2025-09-16 06:50:56,Desktop,Influencer,6,8,False,False,False,South West
S800195,C100571,,2025-11-28 19:57:07,Mobile,Organic,6,286,False,True,True,South West
S800196,C100949,MKT2022,2025-08-11 19:51:01,Desktop,Email,12,305,False,True,True,South West
S800197,C102286,,2025-07-09 00:10:57,Mobile,Referral,5,124,False,False,False,South East
S800198,C100620,MKT2031,2025-06-16 11:24:38,Mobile,Paid Social,7,22,True,False,False,South South
S800199,C101800,MKT2005,2025-08-28 03:21:52,Mobile,Paid Social,6,533,False,True,False,South West
S800200,C100476,,2025-02-04 02:54:41,Mobile,Referral,8,98,False,False,False,South West
S800201,C100614,MKT2006,2025-06-09 01:45:23,Mobile,Paid Social,6,240,True,False,False,North West
S800202,C102237,MKT2022,2025-09-26 23:39:30,Mobile,Email,8,454,False,False,False,South West
S800203,C101827,,09/12/2025,Mobile,Email,6,305,False,False,False,North Central
S800204,C101798,MKT2031,2025-03-09 02:02:04,Desktop,Paid Social,3,8,True,False,False,South West
S800205,C100862,,2025-06-06 18:19:04,Mobile,Email,2,338,False,True,True,North Central
S800206,C101398,MKT2003,2025-06-02 23:37:04,Desktop,Email,5,228,False,True,False,South West
S800207,C100955,MKT2000,2025-12-12 10:33:06,Desktop,Paid Social,5,220,True,False,False,North West
S800208,C101574,,2025-05-11 13:04:40,Mobile,Organic,4,278,True,False,False,North West
S800209,C102395,MKT2007,2025-03-19 03:35:30,Mobile,Influencer,5,340,False,True,True,South South
S800210,C102261,,2025-11-25 22:12:53,Desktop,Organic,3,363,True,True,True,South West
S800211,C100371,,2025-09-25 20:00:39,Desktop,Referral,5,139,False,False,False,South West
S800212,C101628,MKT2019,2025-04-16 11:15:16,Mobile,Paid Social,6,378,False,True,False,North Central
S800213,C101059,MKT2009,2025-04-17 15:57:53,Mobile,Influencer,6,193,False,False,False,North West
S800214,C101834,MKT2008,2025-10-22 10:39:45,Desktop,Paid Social,4,93,False,False,False,South West
S800215,C102220,,2025-11-11 09:54:44,Mobile,Email,6,165,False,False,False,South West
S800216,C100368,MKT2001,2025/01/25,Mobile,Paid Search,5,211,False,True,False,South West
S800217,C100704,MKT2003,2025-10-21 23:24:25,Desktop,Email,7,168,False,False,False,South West
S800218,C101293,MKT2016,16/08/2025,Desktop,Email,6,206,False,True,False,South West
S800219,C100165,,"Sep 25, 2025",Mobile,Referral,8,253,False,False,False,South East
S800220,C101119,,2025-07-11,Mobile,Direct,9,266,False,True,True,South South
S800221,C101462,MKT2003,"Aug 12, 2025",Mobile,Email,8,340,False,True,True,North Central
S800222,C101119,MKT2009,2025/12/05,Mobile,Influencer,3,413,True,False,False,South South
S800223,C100195,MKT2014,09/03/2025,Mobile,Paid Search,9,85,False,True,False,South West
S800224,C100655,MKT2015,2025-05-11 09:47:30,Mobile,Paid Search,5,201,False,False,False,South West
S800225,C101701,,"Jan 06, 2025",Mobile,Email,4,451,True,False,False,North West
S800226,C100073,MKT2018,2025-07-10 20:44:58,Desktop,Paid Social,6,252,True,False,False,South West
S800227,C100087,MKT2021,2025-12-21 09:59:19,Mobile,Affiliate,3,390,False,False,False,North West
S800228,C100587,MKT2013,2025-02-06 22:45:17,Mobile,Paid Social,4,406,False,False,False,South East
S800229,C100240,MKT2029,26/12/2025,Mobile,Paid Search,5,8,True,False,False,South East
S800230,C100746,MKT2034,2025-08-06 09:03:15,Mobile,Paid Social,5,380,False,False,False,North Central
S800231,C100218,,2025-10-04 08:38:53,Mobile,Referral,7,296,False,True,False,North West
S800232,C100595,,2025-02-19 12:01:06,Mobile,Organic,7,235,False,True,True,North Cntrl
S800233,C101263,MKT2000,2025-08-02 13:41:05,Mobile,Paid Social,5,135,False,False,False,South South
S800234,C101197,,2025-03-06 15:44:05,Desktop,Email,10,80,False,True,False,North West
S800235,C102334,MKT2013,2025-10-02 15:42:33,Mobile,Paid Social,6,144,False,True,False,South East
S800236,C101892,MKT2006,2025-08-04 17:50:30,Tablet,Paid Social,3,92,False,True,True,North West
S800237,C100412,MKT2035,01-15-2025,Desktop,Paid Search,4,292,False,False,False,South South
S800238,C102283,MKT2032,2025-08-01 02:24:18,Mobile,Paid Search,6,388,True,False,False,South East
S800239,C101926,MKT2006,03-20-2025,Tablet,Paid Social,4,677,False,True,False,South West
S800240,C101542,MKT2014,2025-12-21 12:11:46,Mobile,Paid Search,3,339,False,True,False,North West
S800241,C101709,MKT2026,2025-08-30 19:27:07,Mobile,Paid Search,4,362,False,False,False,South South
S800242,C101136,,2025-02-20 15:40:31,Mobile,Referral,2,171,True,False,False,South West
S800243,C100748,MKT2028,2025-10-21,Mobile,Paid Search,4,8,True,False,False,North West
S800244,C100558,MKT2003,2025-08-21 14:29:20,Mobile,Email,3,8,False,False,False,South West
S800245,C102343,MKT2031,2025-01-29 20:32:55,Mobile,Paid Social,3,208,True,False,False,South South
S800246,C101398,,"May 11, 2025",Mobile,Direct,6,283,False,False,False,South West
S800247,C101684,,2025-05-15 06:48:26,Mobile,Email,10,331,False,False,False,South South
S800248,C101020,,2025-10-16 09:06:59,Mobile,Email,7,139,False,True,True,South West
S800249,C102024,MKT2026,12-26-2025,Mobile,Paid Search,2,181,False,False,False,North Central
S800250,C100043,MKT2011,2025-03-26 00:45:30,Desktop,Email,6,70,False,True,False,South South
S800251,C101944,,2025-10-02 12:54:12,Mobile,Direct,5,402,False,True,True,South South
S800252,C101192,MKT2022,2025-09-30 21:32:41,Mobile,Email,2,288,True,False,False,South West
S800253,C100864,MKT2035,2025-04-19,Mobile,Paid Search,5,559,False,False,False,South South
S800254,C100943,,2025-04-08 12:43:38,Mobile,Referral,2,387,True,True,True,South South
S800255,C101422,MKT2003,2025-09-02 02:34:57,Mobile,Email,3,439,False,True,True,South East
S800256,C100974,MKT2001,2025-03-02 22:40:27,Mobile,Paid Search,1,299,True,False,False,North Central
S800257,C100300,MKT2021,2025-07-06 04:01:31,Desktop,Affiliate,3,206,False,False,False,North Central
S800258,C101070,,06-02-2025,Mobile,Email,4,291,FALSE,False,False,South West
S800259,C100393,MKT2023,2025-08-22 18:20:17,Mobile,Email,5,227,False,False,False,North West
S800260,C101621,MKT2003,2025-04-03,Mobile,Email,10,372,False,True,True,North Central
S800261,C100457,MKT2015,2025-10-08 02:03:21,phone,Paid Search,6,321,True,False,False,North West
S800262,C102304,MKT2014,2025-04-08 06:59:50,Mobile,Paid Search,7,356,False,False,False,South West
S800263,C100941,,2025/09/19,Desktop,Direct,7,102,False,False,False,North Central
S800264,C100502,MKT2017,2025-09-25 14:20:55,Mobile,Paid Social,5,135,False,False,False,South West
S800265,C101297,MKT2004,2025-11-13 11:03:45,Desktop,Affiliate,7,349,True,False,False,North Central
S800266,C101636,,2025-05-02 20:45:45,Desktop,Organic,2,265,True,False,False,South South
S800267,C100402,MKT2004,2025-04-19 10:45:20,Mobile,Affiliate,3,213,True,True,False,South South
S800268,C101196,,2025-02-08 04:25:05,Desktop,Referral,8,144,False,True,False,North West
S800269,C100886,,2025-11-07 23:00:12,Mobile,Organic,4,99,True,False,False,North Central
S800270,C100037,MKT2010,2025-02-24 17:14:41,Mobile,Paid Search,9,289,False,False,False,North Central
S800271,C100438,MKT2000,09-09-2025,Mobile,Paid Social,2,27,False,False,False,North Central
S800272,C102136,MKT2002,2025-02-21 19:43:32,Mobile,Paid Search,3,350,False,False,False,South South
S800273,C102278,MKT2005,2025-10-25 06:36:30,Mobile,Paid Social,6,8,False,True,True,North West
S800274,C101459,,2025-11-19 14:14:50,Mobile,Referral,5,311,True,False,False,South South
S800275,C100625,MKT2033,2025-12-19 18:26:02,Mobile,Display,5,8,False,False,False,North Central
S800276,C101691,,2025-03-27 04:20:40,Desktop,Organic,6,279,1,True,False,South South
S800277,C100180,MKT2017,2025-11-28 03:44:20,Desktop,Paid Social,5,240,False,False,False,South West
S800278,C101842,,2025-09-02 18:17:46,Mobile,Organic,9,69,False,True,False,South South
S800279,C100136,,2025-01-14 09:09:44,Mobile,Email,2,185,True,False,False,South East
S800280,C100201,MKT2014,2025-02-19 04:33:37,Mobile,Paid Search,6,300,False,False,False,South West
S800281,C101676,MKT2027,2025-04-06 06:35:33,Mobile,Paid Search,4,257,False,False,False,North Central
S800282,C100772,,2025-11-29 09:04:57,Mobile,Referral,4,53,True,False,Y,South West
S800283,C100754,MKT2034,"Feb 16, 2025",Mobile,Paid Social,8,343,False,True,False,South South
S800284,C101482,MKT2015,2025-03-17 05:22:24,Mobile,Paid Search,5,283,False,True,False,South East
S800285,C100338,,2025-08-18 00:13:47,Mobile,Referral,7,58,False,True,True,South West
S800286,C101512,MKT2007,06/11/2025,Mobile,Influencer,3,149,False,False,False,South West
S800287,C100349,MKT2010,2025-01-22,Mobile,Paid Search,6,319,False,False,False,North Central
S800288,C101404,MKT2021,2025-09-01 01:14:43,Desktop,Affiliate,4,252,False,False,False,South West
S800289,C100831,,2025-06-28 01:48:51,Tablet,Direct,7,283,False,True,FALSE,NW
S800290,C101620,,2025-02-21 12:11:01,Mobile,Email,6,113,True,False,False,South West
S800291,C100687,,06-09-2025,Mobile,Email,7,54,False,False,False,North Central
S800292,C101512,MKT2011,2025/03/03,Mobile,Email,6,228,False,False,False,South West
